"Constituency name, electorate, 2001 result",Turnout,Candidate (* = incumbent MP),Party,Votes,Percent share,* = lost deposit,Change 2001-05,
, ,"Wolfe, M.S.",Grn,1'593,3.1,*,,
, , , ,-----,---,, , 
,, , ,7'856,15.4,, , 
2001: Con,, , , , , , , 
Suffolk Coastal [544],67.6,"Gummer, J.S.*",Con,23'415,44.6,,+,1.2
77'728, ,"Rowe, D.J.",Lab,13'730,26.1,,-,8.6
, ,"Young, D.A.",LD,11'637,22.1,,+,3.9
, ,"Curtis, R.J.",UKIP,2'020,3.8,*,+,0.2
, ,"Whitlow, P.M.",Grn,1'755,3.3,*,,
, , , ,-----,---,, , 
,, , ,9'685,18.4,, , 
2001: Con,, , , , , , , 
Suffolk South [545],69.3,"Yeo, T.S.K.*",Con,20'471,42,,+,0.6
70'237, ,"Pollard, A.K. Ms.",LD,13'865,28.5,,+,3.5
, ,"Craig, K.",Lab,11'917,24.5,,-,5.7
, ,"Carver, J.J.T.",UKIP,2'454,5,,+,1.5
, , , ,-----,---,, , 
,, , ,6'606,13.6,, , 
2001: Con,, , , , , , , 
Suffolk West [546],60.7,"Spring, R.J.G.*",Con,21'682,49,,+,1.5
72'866, ,"Jefferys, M.J.",Lab,12'773,28.9,,-,8.6
, ,"Graves, A.P.",LD,7'573,17.1,,+,5.3
, ,"Smith, I.J.",UKIP,2'177,4.9,*,+,1.8
, , , ,-----,---,, , 
,, , ,8'909,20.2,, , 
2001: Con,, , , , , , , 
Sunderland North [547],49.7,"Etherington, W.*",Lab,15'719,54.4,,-,8.3
58'146, ,"Daughton, S.",Con,5'724,19.8,,+,1.9
, ,"Hollern, J.",LD,4'277,14.8,,+,2.7
, ,"Herron, N.",Ind,2'057,7.1,, , 
, ,"Hiles, D. Ms.",BNP,1'136,3.9,*,+,1.6
, , , ,-----,---,, , 
,, , ,9'995,34.6,, , 
2001: Lab,, , , , , , , 
Sunderland South [548],49.8,"Mullin, C.J.*",Lab,17'982,58.6,,-,5.3
61'632, ,"Oliver, R.G.",Con,6'923,22.5,,+,2.5
, ,"Kane, G.",LD,4'492,14.6,,+,2.8
, ,"Guynan, D.E.",BNP,1'166,3.8,*,+,1.9
, ,"Warner, R. Ms.",MRLP,149,0.5,*,, 
, , , ,-----,---,, , 
,, , ,11'059,36,, , 
2001: Lab,, , , , , , , 
Surrey East [549],65.9,"Ainsworth, P.M.*",Con,27'659,56.2,,+,3.6
74'742, ,"Pursehouse, J.",LD,11'738,23.8,,-,0.6
, ,"Bridge, J.O.",Lab,7'288,14.8,,-,4.3
, ,"Stone, A.B.",UKIP,2'158,4.4,*,+,0.5
, ,"Matthews, W.D.",LCA,410,0.8,*,, 
, , , ,-----,---,, , 
,, , ,15'921,32.3,, , 
2001: Con,,,,,,,,
,, , , , , , , 
Surrey Heath [550],64.4,"Gove, M.A.",Con,24'642,51.5,,+,1.8
74'364, ,"Harper, R.J. Ms.",LD,13'797,28.8,,+,3.1
, ,"Lowe, C.J.",Lab,7'989,16.7,,-,4.7
, ,"Smith, S.P.",UKIP,1'430,3,*,-,0.3
, , , ,-----,---,, , 
,, , ,10'845,22.7,, , 
2001: Con,, , , , , , , 
Surrey South West [551],72.3,"Hunt, J.",Con,26'420,50.4,,+,5.1
72'504, ,"Cordon, S.R.",LD,20'709,39.5,,-,4
, ,"Sleigh, T.C.C.",Lab,4'150,7.9,,-,0.8
, ,"Clark, T.R.",UKIP,958,1.8,*,-,0.6
, ,"Platt, G.M.",Ver,172,0.3,*,, 
, , , ,-----,---,, , 
,, , ,5'711,10.9,, , 
2001: Con,, , , , , , , 
Sussex Mid [552],70,"Soames, A.N.W.*",Con,23'765,48,,+,1.9
70'693, ,"Tierney, S.A. Ms.",LD,17'875,36.1,,+,5
, ,"Fromant, R.J.",Lab,6'280,12.7,,-,6.3
, ,"Piggott, H.E.",UKIP,1'574,3.2,*,+,0.7
, , , ,-----,---,, , 
,, , ,5'890,11.9,, , 
2001: Con,, , , , , , , 
Sutton and Cheam [553],66.7,"Burstow, P.K.*",LD,19'768,47.1,,-,1.6
62'885, ,"Willis, R.J.",Con,16'922,40.4,,+,2.4
, ,"Shukla, A.",Lab,4'954,11.8,,-,1.4
, ,"Weiss, R.G.",Vote,288,0.7,*,, 
, , , ,-----,---,, , 
,, , ,2'846,6.8,, , 
2001: LD,, , , , , , , 
Sutton Coldfield [554],63.5,"Mitchell, A.J.B.*",Con,24'308,52.5,,+,2.1
72'970, ,"Pocock, R.L.",Lab,12'025,26,,-,1.2
, ,"Drury, C.G.",LD,7'710,16.6,,-,2.4
, ,"Shorrock, S.H.",UKIP,2'275,4.9,*,+,2.2
, , , ,-----,---,, , 
,, , ,12'283,26.5,, , 
2001: Con,, , , , , , , 
Swansea East [555],53.6,"James, S.C. Ms.",Lab,17'457,56.6,,-,8.6
57'502, ,"Speht, R.",LD,6'208,20.1,,+,9.9
, ,"Bland, E.M. Ms.",Con,3'103,10.1,,+,0
, ,"Couch, C.S. Ms.",PC,2'129,6.9,,-,4.6
, ,"Holloway, K.W.",BNP,770,2.5,*,,
, ,"Jenkins, T.C.",UKIP,674,2.2,*,+,0.7
, ,"Young, J.A.",Grn,493,1.6,*,+,0.1
, , , ,-----,---,, , 
,, , ,11'249,36.5,, , 
2001: Lab,, , , , , , , 
Swansea West [556],56.7,"Williams, A.J.*",Lab,13'833,41.8,,-,6.9
58'363, ,"Kinzett, R.H.",LD,9'564,28.9,,+,12.4
, ,"Abdel-Haq, M.K.",Con,5'285,16,,-,3
, ,"Roberts, H.L.",PC,2'150,6.5,,-,4.1
, ,"Shrewsbury, M.J.",Grn,738,2.2,*,+,0.3
, ,"Ford, M.",UKIP,609,1.8,*,-,0.2
, ,"Holley, Y.M. Ms.",Ver,401,1.2,*,, 
, ,"Williams, R.",S Alt,288,0.9,*,, 
, ,"Pank, S.J.",LCA,218,0.7,*,, 
, , , ,-----,---,, , 
,, , ,4'269,12.9,, , 
2001: Lab,, , , , , , , 
Swindon North [557],60.7,"Wills, M.D.*",Lab,19'612,43.7,,-,9.2
73'913, ,"Tomlinson, J.P.",Con,17'041,38,,+,4.3
, ,"Evemy, M.S.",LD,6'831,15.2,,+,3.7
, ,"Tingey, R.H.",UKIP,998,2.2,*,+,0.3
, ,"Newman, A.D.",SocU,208,0.5,*,, 
, ,"Reynolds, E.W.",Ind,195,0.4,*,, 
, , , ,-----,---,, , 
,, , ,2'571,5.7,, , 
2001: Lab,, , , , , , , 
Swindon South [558],60.2,"Snelgrove, A.C. Ms.",Lab,17'534,40.3,,-,11
72'166, ,"Buckland, R.J.",Con,16'181,37.2,,+,2.8
, ,"Stebbing, S.R. Ms.",LD,7'322,16.8,,+,4.9
, ,"Hughes, J.V.",Grn,1'234,2.8,*,,
, ,"Halden, S.F.",UKIP,955,2.2,*,+,0.6
, ,"Hayward, A.D.",Ind,193,0.4,*,, 
, ,"Williams, J.H.",Ind,53,0.1,*,, 
, , , ,-----,---,, , 
,, , ,1'353,3.1,, , 
2001: Lab,, , , , , , , 
Tamworth [559],61,"Jenkins, B.D.*",Lab,18'801,43,,-,6
71'675, ,"Pincher, C.J.",Con,16'232,37.1,,-,0.5
, ,"Bennion, R.P.",LD,6'175,14.1,,+,2.4
, ,"Eston, P.J.",Ver,1'320,3,*,, 
, ,"Simpson, T.H.G.",UKIP,1'212,2.8,*,+,1.1
, , , ,-----,---,, , 
,, , ,2'569,5.9,, , 
2001: Lab,, , , , , , , 
Tatton [560],64.6,"Osborne, G.G.O.*",Con,21'447,51.8,,+,3.7
64'140, ,"Madders, J.P.R.",Lab,9'716,23.5,,-,3.8
, ,"Arnold, W.J.A.",LD,9'016,21.8,,+,3.2
, ,"Bowler, D.C. Ms.",UKIP,996,2.4,*,+,0.5
, ,"Gibson, M.G.",,239,0.6,*, ,
, , , ,-----,---,, , 
,, , ,11'731,28.3,, , 
2001: Con,, , , , , , , 
Taunton [561],70.2,"Browne, J.R.",LD,25'764,43.3,,+,2
84'811, ,"Flook, A.J.*",Con,25'191,42.3,,+,0.6
, ,"Govier, A.J.",Lab,7'132,12,,-,3
, ,"Miles, H.C. Ms.",UKIP,1'441,2.4,*,+,0.4
, , , ,-----,---,, , 
,, , ,573,1,, , 
2001: Con,, , , , , , , 
Teignbridge [562],69.5,"Younger-Ross, R.*",LD,27'808,45.7,,+,1.2
87'681,,"Johnson, S.P.",Con,21'593,35.5,,-,3.9
, ,"Sherwood, C.G.",Lab,6'931,11.4,,-,1
, ,"Colman, B.T.",UKIP,3'881,6.4,,+,2.5
, ,"Wills, R.S.",Lib,685,1.1,*,, 
, , , ,-----,---,, , 
, , , ,6'215,10.2,, , 
2001: LD,, , , , , , , 
Telford [563],57.7,"Wright, D.*",Lab,16'506,48.3,,-,6.3
59'298, ,"Kyriazis, S.L. Ms.",Con,11'100,32.5,,+,5
, ,"Jenkins, I.C.",LD,4'941,14.4,,+,1.5
, ,"McCartney, T.",UKIP,1'659,4.9,*,+,1.3
, , , ,-----,---,, , 
,, , ,5'406,15.8,, , 
2001: Lab,, , , , , , , 
Tewkesbury [564],63.2,"Robertson, L.A.*",Con,22'339,49.1,,+,3.1
71'945, ,"Cameron, A.R.",LD,12'447,27.4,,+,1.1
, ,"Mannan, C.",Lab,9'179,20.2,,-,6.7
, ,"Rendell, R.J.",Grn,1'488,3.3,*,,
, , , ,-----,---,, , 
,, , ,9'892,21.8,, , 
2001: Con,, , , , , , , 
Thanet North [565],60.7,"Gale, R.J.*",Con,21'699,49.6,,-,0.7
72'012, ,"Johnston, I. Ms.",Lab,14'065,32.2,,-,2.2
, ,"Barnard, M.A.",LD,6'279,14.4,,+,3.4
, ,"Stocks, T.E.",UKIP,1'689,3.9,*,+,1.5
, , , ,-----,---,, , 
,, , ,7'634,17.5,, , 
2001: Con,, , , , , , , 
Thanet South [566],65.4,"Ladyman, S.J.*",Lab,16'660,40.4,,-,5.3
63'027, ,"Macgregor, M.C.",Con,15'996,38.8,,-,2.3
, ,"Voizey, G.S.B.",LD,5'431,13.2,,+,3.8
, ,"Farage, N.P.",UKIP,2'079,5,,+,3.8
, ,"Green, H.L.",Grn,888,2.2,*,,
, ,"Kinsella, M. Ms.",Ind,188,0.5,*,, 
, , , ,-----,---,, , 
,, , ,664,1.6,, , 
2001: Lab,, , , , , , , 
Thurrock [567],54.8,"Mackinlay, A.S.*",Lab,20'636,47.2,,-,9.3
79'758, ,"Hague, G.P.J.",Con,14'261,32.6,,+,2.9
, ,"Palmer, E.D.",LD,4'770,10.9,,+,0.6
, ,"Geri, N.",BNP,2'526,5.8,, ,
, ,"Jackson, C.A. Ms.",UKIP,1'499,3.4,*,+,0
, , , ,-----,---,, , 
,, , ,6'375,14.6,, , 
2001: Lab,, , , , , , , 
Tiverton and Honiton [568],70.1,"Browning, A. Ms.*",Con,27'838,47.9,,+,0.8
82'976, ,"Nation, D.J.",LD,16'787,28.9,,-,6.9
, ,"Bentley, F.W. Ms.",Lab,7'944,13.7,,+,1.7
, ,"Edwards, R.C.",UKIP,2'499,4.3,*,+,2
, ,"Collins, R.F.",Lib,1'701,2.9,*,, 
, ,"Matthews, C.R.",Grn,1'399,2.4,*,+,0.6
,,,,,,,,
, , , ,-----,---,, , 
,, , ,11'051,19,, , 
2001: Con,, , , , , , , 
Tonbridge and Malling [569],68.2,"Stanley, J.P.*",Con,24'357,52.9,,+,3.5
67'513, ,"Hayman, V. Ms.",Lab,11'005,23.9,,-,6.1
, ,"Barstow, J.E.",LD,8'980,19.5,,+,1.6
, ,"Waller, D.L.",UKIP,1'721,3.7,*,+,1
, , , ,-----,---,, , 
,, , ,13'352,29,, , 
2001: Con,, , , , , , , 
Tooting [570],59,"Khan, S.A.",Lab,17'914,43.1,,-,11
70'510, ,"Bethell, J.N.",Con,12'533,30.2,,+,3.7
, ,"Dearden, S.M. Ms.",LD,8'110,19.5,,+,4.7
, ,"Vitelli, S.M. Ms.",Grn,1'695,4.1,*,-,0.6
, ,"Zaidi, A.J.",Resp,700,1.7,*,,
, ,"McDonald, S.D.",UKIP,424,1,*,,
, ,"Perkin, I.K.",Ind,192,0.5,*,, 
, , , ,-----,---,, , 
,, , ,5'381,12.9,, , 
2001: Lab,, , , , , , , 
Torbay [571],61.9,"Sanders, A.M.*",LD,19'317,40.8,,-,9.6
76'445, ,"Wood, C.M.A.",Con,17'288,36.5,,+,0.2
, ,"Pedrick-Friend, D.J.",Lab,6'972,14.7,,+,5.3
, ,"Booth, G.H.",UKIP,3'726,7.9,,+,4.7
, , , ,-----,---,, , 
,, , ,2'029,4.3,, , 
2001: LD,, , , , , , , 
Torfaen [572],59.3,"Murphy, P.P.*",Lab,20'472,56.9,,-,5.2
60'665, ,"Ramsay, N.H.",Con,5'681,15.8,,-,0.1
, ,"Watkins, V.K. Ms.",LD,5'678,15.8,,+,4.6
, ,"Preece, A.J.M.",PC,2'242,6.2,,-,1.5
, ,"Rowlands, D.J.",UKIP,1'145,3.2,*,+,1.3
, ,"Turner-Thomas, R.J.",Ind,761,2.1,*,, 
, , , ,-----,---,, , 
,, , ,14'791,41.1,, , 
2001: Lab,, , , , , , , 
Totnes [573],68.7,"Steen, A.D.*",Con,21'112,41.7,,-,2.8
73'629, ,"Treleaven, M.",LD,19'165,37.9,,+,0.7
, ,"Burns, V.J. Ms.",Lab,6'185,12.2,,+,0
, ,"Knapman, R.M.",UKIP,3'914,7.7,,+,1.6
, ,"Thompson, M.",,199,0.4,*, ,
, , , ,-----,---,, , 
,, , ,1'947,3.8,, , 
2001: Con,, , , , , , , 
Tottenham [574],47.8,"Lammy, D.*",Lab,18'343,57.9,,-,9.5
66'238, ,"Hoban, W.",LD,5'309,16.8,,+,7.2
, ,"MacDougall, W.F.",Con,4'278,13.5,,-,0.4
, ,"Alder, J. Ms.",Resp,2'014,6.4,, ,
, ,"McAskie, P.H.",Grn,1'457,4.6,*,+,0
, ,"Durrani, J.",SL,263,0.8,*,,
,,,,,,,,
, , , ,-----,---,, , 
,, , ,13'034,41.2,, , 
2001: Lab,, , , , , , , 
Truro and St. Austell [575],64,"Taylor, M.O.J.*",LD,24'089,46.7,,-,1.6
80'526, ,"Kemp, F.G. Ms.",Con,16'686,32.4,,+,0.1
, ,"Mackenzie, C. Ms.",Lab,6'991,13.6,,-,0.1
, ,"Noakes, D.",UKIP,2'736,5.3,,+,2
, ,"Jenkin, C.J.T.",MK,1'062,2.1,*,, 
, , , ,-----,---,, , 
,, , ,7'403,14.4,, , 
2001: LD,, , , , , , , 
Tunbridge Wells [576],65.7,"Clark, G.D.",Con,21'083,49.6,,+,0.8
64'630, ,"Murphy, L.J. Ms.",LD,11'095,26.1,,+,1.5
, ,"Jedrzejewski, J.A. Ms.",Lab,8'736,20.6,,-,2.6
, ,"Webb, V.C.",UKIP,1'568,3.7,*,+,0.4
, , , ,-----,---,, , 
,, , ,9'988,23.5,, , 
2001: Con,, , , , , , , 
Twickenham [577],72.3,"Cable, J.V.*",LD,26'696,51.6,,+,2.9
71'444, ,"Maynard, P.C.",Con,16'731,32.4,,-,1
, ,"Whitington, B.",Lab,5'868,11.4,,-,2.5
, ,"Gower, H.B.L.",Grn,1'445,2.8,*,-,0.1
, ,"Orchard, D.",UKIP,766,1.5,*,+,0.3
, ,"Gilbert, B.P.",Ind,117,0.2,*,, 
, ,"Weiss, R.G.",Vote,64,0.1,*,, 
, , , ,-----,---,, , 
,, , ,9'965,19.3,, , 
2001: LD,, , , , , , , 
Tyne Bridge [578],49.3,"Clelland, D.G.*",Lab,16'151,61.2,,-,9.3
53'568, ,"Boyle, C.P.",LD,5'751,21.8,,+,9.5
, ,"Fairhead, T.E.",Con,2'962,11.2,,-,2
, ,"Scott, K.",BNP,1'072,4.1,*,,
, ,"Russell, J.C. Ms.",Resp,447,1.7,*,,
, , , ,-----,---,, , 
,, , ,10'400,39.4,, , 
2001: Lab,, , , , , , , 
Tynemouth [579],66.9,"Campbell, A.*",Lab,20'143,47,,-,6.2
64'023, ,"McIntyre, M.",Con,16'000,37.3,,+,3.9
, ,"Finlay, C.",LD,6'716,15.7,,+,4
, , , ,-----,---,, , 
,, , ,4'143,9.7,, , 
2001: Lab,, , , , , , , 
Tyneside North [580],57.2,"Byers, S.J.*",Lab,22'882,61.9,,-,7.5
64'634, ,"McLellan, D.S.",Con,7'845,21.2,,+,6.7
, ,"Ferguson, G.B.W. Ms.",LD,6'212,16.8,,+,4.4
, , , ,-----,---,, , 
,, , ,15'037,40.7,, , 
2001: Lab,, , , , , , , 
Tyrone West [581],72.7,"Doherty, P.*",SF,16'910,38.9,,-,1.9
59'842, ,"Deeny, C.K.",Ind,11'905,27.4,, , 
, ,"Buchanan, T.E.",DUP,7'742,17.8,, ,
, ,"McMenamin, E.A.",SDLP,3'949,9.1,,-,19.6
, ,"Hussey, D.R.",UU,2'981,6.9,,-,23.6
, , , ,-----,---,, , 
,, , ,5'005,11.5,, , 
2001: SF,, , , , , , , 
Ulster Mid [582],73.2,"McGuinness, M.*",SF,21'641,47.6,,-,3.4
62'088, ,"McCrea, R.W.I.",DUP,10'665,23.5,,-,7.7
, ,"McGlone, P.J.",SDLP,7'922,17.4,,+,0.7
, ,"Armstrong, B.",UU,4'853,10.7,, ,
, ,"Donnelly, F.",WP,345,0.8,*,, 
, , , ,-----,---,, , 
,, , ,10'976,24.2,, , 
2001: SF,, , , , , , , 
Upminster [583],63,"Watkinson, A.E. Ms.*",Con,16'820,48.5,,+,3
55'042, ,"Darvill, K.E.",Lab,10'778,31.1,,-,10.8
, ,"Truesdale, P.J.",LD,3'128,9,,-,0.4
, ,"Ower, R.F.C.",RAL,1'455,4.2,*,, 
, ,"Roberts, C.",BNP,1'173,3.4,*,,
, ,"Hindle, A.G.",UKIP,701,2,*,-,1.2
, ,"Collins, M.J. Ms.",Grn,543,1.6,*,,
, ,"Durant, D.W.",TW,78,0.2,*,, 
, , , ,-----,---,, , 
,, , ,6'042,17.4,, , 
2001: Con,, , , , , , , 
Upper Bann [584],62,"Simpson, D.",DUP,16'679,37.5,,+,8.1
71'645, ,"Trimble, W.D.*",UU,11'381,25.6,,-,7.9
, ,"O'Dowd, J.",SF,9'305,20.9,,-,0.2
, ,"Kelly, D. Ms.",SDLP,5'747,12.9,,-,2
, ,"Castle, A.",APNI,955,2.1,*,,
, ,"French, T.",WP,355,0.8,*,, 
, , , ,-----,---,, , 
,, , ,5'298,11.9,, , 
2001: UU,, , , , , , , 
Uxbridge [585],59.4,"Randall, A.J.*",Con,16'840,49,,+,1.9
57'842, ,"Dubrow-Marshall, R.P.",Lab,10'669,31,,-,9.8
, ,"Mahmood, T.",LD,4'544,13.2,,+,3
, ,"Le May, C.J.",BNP,763,2.2,*,,
, ,"Young, S.",Grn,725,2.1,*,,
, ,"Kerby, R.S.",UKIP,553,1.6,*,-,0.2
, ,"Shaw, P.",NF,284,0.8,*,, 
, , , ,-----,---,, , 
,, , ,6'171,18,, , 
2001: Con,, , , , , , , 
Vale of Clwyd [586],62.2,"Ruane, C.S.*",Lab,14'875,46,,-,4
51'983, ,"Elphick, F.A.L. Ms.",Con,10'206,31.6,,-,0.6
, ,"Jewkes, E. Ms.",LD,3'820,11.8,,+,2.4
, ,"Jones, M.D.",PC,2'309,7.1,,+,0
, ,"Young, M.J.",Ind,442,1.4,*,, 
, ,"Khambatta, E. Ms.",UKIP,375,1.2,*,-,0
, ,"Ditchfield, J.J.",LCA,286,0.9,*,, 
,,,,,,,,
, , , ,-----,---,, , 
,, , ,4'669,14.4,, , 
2001: Lab,, , , , , , , 
Vale of Glamorgan [587],68.9,"Smith, J.*",Lab,19'481,41.2,,-,4.3
68'657, ,"Cairns, A.H.",Con,17'673,37.3,,+,2.3
, ,"Hooper, M.",LD,6'140,13,,+,0.8
, ,"Shaw, B.",PC,2'423,5.1,,-,1.2
, ,"Suchorzewski, R.",UKIP,840,1.8,*,+,0.8
, ,"Langford, K-J.",Lib,605,1.3,*,, 
, ,"Mules, P.",SL,162,0.3,*,,
, , , ,-----,---,, , 
,, , ,1'808,3.8,, , 
2001: Lab,, , , , , , , 
Vale of York [588],66.6,"McIntosh, A.C.B. Ms.*",Con,26'025,51.7,,+,0
75'632, ,"Scott, D.L.",Lab,12'313,24.4,,-,1.4
, ,"Wilcock, J.D.",LD,12'040,23.9,,+,3.7
, , , ,-----,---,, , 
,, , ,13'712,27.2,, , 
2001: Con,, , , , , , , 
Vauxhall [589],46.9,"Hoey, C.L. Ms.*",Lab,19'744,52.9,,-,6.3
79'637, ,"Anglin, C.A.",LD,9'767,26.1,,+,6
, ,"Heckels, E.G.",Con,5'405,14.5,,+,1
, ,"Summers, T.J.",Grn,1'705,4.6,*,+,0.1
, ,"McWhirter, R.A.",UKIP,271,0.7,*,,
, ,"Lambert, D.P.",Soc,240,0.6,*,, 
, ,"Polenceus, J.",ED,221,0.6,*,, 
, , , ,-----,---,, , 
,, , ,9'977,26.7,, , 
2001: Lab,, , , , , , , 
Wakefield [590],59.3,"Creagh, M.H. Ms.",Lab,18'802,43.3,,-,6.6
73'120, ,"Shelbrooke, A.E.",Con,13'648,31.5,,+,0.8
, ,"Ridgway, J.A.D.",LD,7'063,16.3,,+,3.9
, ,"Rowe, G.J.",BNP,1'328,3.1,*,,
, ,"Hardcastle, D.J.",Grn,1'297,3,*,+,0.4
, ,"Upex, J.R.",UKIP,467,1.1,*,-,0.6
, ,"McEnhill, P.H.A.",ED,356,0.8,*,, 
, ,"Griffiths, M.",S Alt,319,0.7,*,, 
, ,"Sheridan, L.V. Ms.",SL,101,0.2,*,,
, , , ,-----,---,, , 
,, , ,5'154,11.9,, , 
2001: Lab,, , , , , , , 
Wallasey [591],57.5,"Eagle, A. Ms.*",Lab,20'085,54.8,,-,6.1
63'764, ,"Fraser, L. Ms.",Con,10'976,29.9,,+,2
, ,"Pemberton, J.L. Ms.",LD,4'770,13,,+,1.8
, ,"Griffiths, P.W.B.",UKIP,840,2.3,*,,
, , , ,-----,---,, , 
,, , ,9'109,24.8,, , 
2001: Lab,, , , , , , , 
Walsall North [592],53.1,"Winnick, D.J.*",Lab,15'990,47.8,,-,10.3
62'916, ,"Lucas, I.J.",Con,9'350,28,,-,1.1
, ,"Taylor, D.",LD,4'144,12.4,,+,3.4
, ,"Locke, W.T.",BNP,1'992,6,, ,
, ,"Lenton, T.",UKIP,1'182,3.5,*,+,1
, ,"Smith, P.E.",DLP,770,2.3,*,, 
, , , ,-----,---,, , 
,, , ,6'640,19.9,, , 
2001: Lab,, , , , , , , 
Walsall South [593],58.8,"George, B.T.*",Lab,17'633,49.9,,-,9
60'072, ,"Sabar, K.",Con,9'687,27.4,,-,3.1
, ,"Asmal, M.H.",LD,3'240,9.2,,+,2.4
, ,"Bennett, D.",UKIP,1'833,5.2,,+,2.4
, ,"Smith, K.R.",BNP,1'776,5,, ,
, ,"Fazal, N. Ms.",Resp,1'146,3.2,*,,
, , , ,-----,---,, , 
,, , ,7'946,22.5,, , 
2001: Lab,, , , , , , , 
Walthamstow [594],54.6,"Gerrard, N.F.*",Lab,17'323,50.3,,-,11.9
63'079, ,"Ahmed, F.",LD,9'330,27.1,,+,12.5
, ,"Wright, J.A. Ms.",Con,6'254,18.2,,+,0.1
, ,"Brock, R.J.",UKIP,810,2.4,*,+,1.5
, ,"Taaffe, N. Ms.",S Alt,727,2.1,*,, 
, , , ,-----,---,, , 
,, , ,7'993,23.2,, , 
2001: Lab,, , , , , , , 
Wansbeck [595],58.4,"Murphy, D.*",Lab,20'315,55.2,,-,2.6
63'005, ,"Reed, S.L.",LD,9'734,26.4,,+,3.7
, ,"Scrope, V. Ms.",Con,5'515,15,,+,2.2
, ,"Best, N.F.",Grn,1'245,3.4,*,+,0.8
, , , ,-----,---,, , 
,, , ,10'581,28.7,, , 
2001: Lab,, , , , , , , 
Wansdyke [596],72.8,"Norris, D.*",Lab,20'686,40.6,,-,6.2
69'976, ,"Watt, C.D.",Con,18'847,37,,+,1.5
, ,"Coleshill, G. Ms.",LD,10'050,19.7,,+,5.3
, ,"Sandell, P.G.",UKIP,1'129,2.2,*,+,0.9
, ,"Parkes, G.T.",Ind,221,0.4,*,, 
, , , ,-----,---,, , 
,, , ,1'839,3.6,, , 
2001: Lab,, , , , , , , 
Wantage [597],68.2,"Vaizey, E.H.B.",Con,22'354,43,,+,3.4
76'156, ,"Crawford, A.",LD,14'337,27.6,,-,0.4
, ,"McDonald, M.",Lab,12'464,24,,-,4.2
, ,"Twine, A.",Grn,1'332,2.6,*,+,0.4
, ,"Tolstoy-Miloslavsky, N.",UKIP,798,1.5,*,-,0.4
, ,"Lambourne, G.G.",ED,646,1.2,*,, 
, , , ,-----,---,, , 
,, , ,8'017,15.4,, , 
2001: Con,, , , , , , , 
Warley [598],57.5,"Spellar, J.F.*",Lab,17'462,54.4,,-,6.1
55'795, ,"Bissell, K.E. Ms.",Con,7'315,22.8,,+,0
, ,"Ferguson, A.D.",LD,4'277,13.3,,+,2.8
, ,"Smith, S.C.",BNP,1'761,5.5,, ,
, ,"Connigale, M.J.",SL,637,2,*,,
, ,"Matthews, D.J.",UKIP,635,2,*,,
, , , ,-----,---,, , 
,, , ,10'147,31.6,, , 
2001: Lab,, , , , , , , 
Warrington North [599],55.6,"Jones, H.M. Ms.*",Lab,21'632,53.5,,-,8.2
72'725, ,"Ferryman, A.W.",Con,9'428,23.3,,+,0.5
, ,"Walker, J.",LD,7'699,19,,+,5.6
, ,"Kirkham, J.H.",UKIP,1'086,2.7,*,+,0.7
, ,"Hughes, M.",Ind,573,1.4,*,, 
, , , ,-----,---,, , 
,, , ,12'204,30.2,, , 
2001: Lab,, , , , , , , 
Warrington South [600],61.8,"Southworth, H.M. Ms.*",Lab,18'972,40.5,,-,8.7
75'726, ,"Bruce, F.C. Ms.",Con,15'457,33,,+,0
, ,"Marks, I.G.",LD,11'111,23.7,,+,7.4
, ,"Kelley, G.D.",UKIP,804,1.7,*,+,0.3
, ,"Kennedy, P.J.",Ind,453,1,*,, 
, , , ,-----,---,, , 
,, , ,3'515,7.5,, , 
2001: Lab,, , , , , , , 
Warwick and Leamington [601],67.8,"Plaskitt, J.A.*",Lab,22'238,40.6,,-,8.2
80'769, ,"White, C.M.F.",Con,21'972,40.1,,+,2.5
, ,"Forbes, L.C. Ms.",LD,8'119,14.8,,+,3.7
, ,"Davison, I.W.",Grn,1'534,2.8,*,,
, ,"Warwick, G.J.G.",UKIP,921,1.7,*,+,0.5
, , , ,-----,---,, , 
,, , ,266,0.5,, , 
2001: Lab,, , , , , , , 
Warwickshire North [602],62.2,"O'Brien, M.*",Lab,22'561,48.1,,-,6
75'435, ,"Gibb, I.",Con,15'008,32,,-,0.4
, ,"Roodhouse, J.M.",LD,6'212,13.2,,+,1.9
, ,"Mackenzie, M. Ms.",BNP,1'910,4.1,*,,
, ,"Campbell, I.",UKIP,1'248,2.7,*,+,0.5
, , , ,-----,---,, , 
,, , ,7'553,16.1,, , 
2001: Lab,, , , , , , , 
Watford [603],65,"Ward, C.M. Ms.*",Lab,16'575,33.6,,-,11.7
76'034, ,"Brinton, S. Ms.",LD,15'427,31.2,,+,13.8
, ,"Miraj, M.A.",Con,14'634,29.6,,-,3.7
, ,"Rackett, S.L.",Grn,1'466,3,*,+,1
, ,"Wight, K.J.",UKIP,1'292,2.6,*,+,1.5
, , , ,-----,---,, , 
,, , ,1'148,2.3,, , 
2001: Lab,, , , , , , , 
Waveney [604],64.4,"Blizzard, R.J.*",Lab,22'505,45.3,,-,5.4
77'138, ,"Aldous, P.",Con,16'590,33.4,,+,0.8
, ,"Bromley, N.J.",LD,7'497,15.1,,+,3.7
, ,"Aylett, B.",UKIP,1'861,3.7,*,+,1.4
, ,"Elliott, G.J.",Grn,1'200,2.4,*,+,0.3
