UK General Election Results 1997,,,,,,,,,,
Constituency,MP,Candidate,Party,Votes,%Share,Electorate,Majority,Turnout,Status,Declaration
,,John Sewell,Liberal Democrat,14625,28.04%,,,,,
,,Kelvin Tustin,Labour,13665,26.20%,,,,,
,,,,,,,,,,
Thanet North,,Roger Gale,Conservative,21586,44.09%,71112,2766,68.84%,Conservative Hold,02/05/97 03:10
,,Iris Johnston,Labour,18820,38.44%,,,,,
,,Paul Kendrick,Liberal Democrat,5576,11.39%,,,,,
,,Marcus Chambers,Referendum,2535,5.18%,,,,,
,,J Haines,United Kingdom Independence,438,0.89%,,,,,
,,,,,,,,,,
Thanet South,,Stephen Ladyman,Labour,20777,46.18%,62792,2878,71.65%,Labour Gain,02/05/97 03:12
,,Jonathan Aitken,Conservative,17899,39.79%,,,,,
,,Barbara Hewett-Silk,Liberal Democrat,5263,11.70%,,,,,
,,C Crook,United Kingdom Independence,631,1.40%,,,,,
,,David Wheatley,Green,418,0.93%,,,,,
,,,,,,,,,,
The Wrekin,,Peter Bradley,Labour,21243,46.93%,59126,3025,76.56%,Labour Hold,02/05/97 04:18
,,Peter Bruinvels,Conservative,18218,40.24%,,,,,
,,Ian Jenkins,Liberal Democrat,5807,12.83%,,,,,
,,,,,,,,,,
Thurrock,,Andrew MacKinlay,Labour,29896,63.32%,71600,17256,65.94%,Labour Hold,02/05/97 03:18
,,Andrew Rosindell,Conservative,12640,26.77%,,,,,
,,Joe White,Liberal Democrat,3843,8.14%,,,,,
,,Peter Compobassi,United Kingdom Independence,833,1.76%,,,,,
,,,,,,,,,,
Tiverton,,Angela Browning,Conservative,24438,41.33%,75744,1653,78.06%,Conservative Hold,02/05/97 06:13
,,Jim Barnard,Liberal Democrat,22785,38.53%,,,,,
,,John King,Labour,7598,12.85%,,,,,
,,Sam Lowings,Referendum,2952,4.99%,,,,,
,,Jenny Roach,Liberal,635,1.07%,,,,,
,,Emily McIvor,Green,485,0.82%,,,,,
,,Del Charles,National Democratic Resistance,236,0.40%,,,,,
,,,,,,,,,,
Tonbridge and Malling,,John Stanley,Conservative,23640,48.02%,64798,10230,75.97%,Conservative Hold,02/05/97 02:59
,,Barbara Withstandley,Labour,13410,27.24%,,,,,
,,Keith Brown,Liberal Democrat,9467,19.23%,,,,,
,,John Scrivenor,Referendum,2005,4.07%,,,,,
,,B Bullen,United Kingdom Independence,502,1.02%,,,,,
,,Gerard Valente,Natural Law,205,0.42%,,,,,
,,,,,,,,,,
Tooting,,Tom Cox,Labour,27516,59.68%,66653,15011,69.17%,Labour Hold,02/05/97 01:39
,,James Hutchings,Conservative,12505,27.12%,,,,,
,,Simon James,Liberal Democrat,4320,9.37%,,,,,
,,Angela Husband,Referendum,829,1.80%,,,,,
,,John Rattray,Green,527,1.14%,,,,,
,,Peter Boddington,Independent,161,0.35%,,,,,
,,Jan Koene,Independent,94,0.20%,,,,,
,,Daniel Bailey-Bond,Rainbow Dream Ticket,83,0.18%,,,,,
,,Peter Miller,Natural Law,70,0.15%,,,,,
,,,,,,,,,,
Torbay,,Adrian Sanders,Liberal Democrat,21094,39.56%,72258,12,73.79%,Liberal Democrat Gain,02/05/97 02:09
,,Rupert Allason,Conservative,21082,39.54%,,,,,
,,Michael Morey,Labour,7923,14.86%,,,,,
,,Graham Booth,United Kingdom Independence,1962,3.68%,,,,,
,,Bruce Cowling,Liberal,1161,2.18%,,,,,
,,Paul Wild,Rainbow Dream Ticket,100,0.19%,,,,,
,,,,,,,,,,
Torfaen,,Paul Murphy,Labour,29863,69.06%,60343,24536,71.67%,Labour Hold,02/05/97 02:06
,,Neil Parish,Conservative,5327,12.32%,,,,,
,,Jean Gray,Liberal Democrat,5249,12.14%,,,,,
,,Deborah Holler,Referendum,1245,2.88%,,,,,
,,Robert Gough,Plaid Cymru,1042,2.41%,,,,,
,,Roger Coghill,Green,519,1.20%,,,,,
,,,,,,,,,,
Totnes,,Anthony Steen,Conservative,19637,36.52%,70473,877,76.30%,Conservative Hold,02/05/97 04:11
,,Robert Chave,Liberal Democrat,18760,34.89%,,,,,
,,Victor Ellery,Labour,8796,16.36%,,,,,
,,Pamela Cook,Referendum,2552,4.75%,,,,,
,,Christopher Venmore,Independent,2369,4.41%,,,,,
,,H Thomas,United Kingdom Independence,999,1.86%,,,,,
,,Andy Pratt,Green,548,1.02%,,,,,
,,James Golding,Rainbow Dream Ticket,108,0.20%,,,,,
,,,,,,,,,,
Tottenham,,Bernie Grant,Labour,26121,69.28%,66173,20200,56.98%,Labour Hold,02/05/97 03:07
,,Andrew Scantlebury,Conservative,5921,15.70%,,,,,
,,Neil Hughes,Liberal Democrat,4064,10.78%,,,,,
,,Peter Budge,Green,1059,2.81%,,,,,
,,Eleanor Tay,People's Labour,210,0.56%,,,,,
,,Christopher Anglin,Workers' Revolutionary,181,0.48%,,,,,
,,Tania Kent,Independent,148,0.39%,,,,,
,,,,,,,,,,
Truro and St. Austell,,Matthew Taylor,Liberal Democrat,27502,48.46%,76824,12501,73.87%,Liberal Democrat Hold,02/05/97 08:11
,,Neil Badcock,Conservative,15001,26.43%,,,,,
,,Michael Dooley,Labour,8697,15.33%,,,,,
,,Carl Hearn,Referendum,3682,6.49%,,,,,
,,Alan Haithwaite,United Kingdom Independence,576,1.02%,,,,,
,,Dorienne Robinson,Green,482,0.85%,,,,,
,,Davyth Hicks,Mebyon Kernow,450,0.79%,,,,,
,,Lorna Yelland,Independent,240,0.42%,,,,,
,,Peter Boland,Natural Law,117,0.21%,,,,,
,,,,,,,,,,
Tunbridge Wells,,Archie Norman,Conservative,21853,45.19%,65259,7506,74.10%,Conservative Hold,02/05/97 03:09
,,Anthony Clayton,Liberal Democrat,14347,29.67%,,,,,
,,Peter Warner,Labour,9879,20.43%,,,,,
,,Tim Macpherson,Referendum,1858,3.84%,,,,,
,,M Smart,United Kingdom Independence,264,0.55%,,,,,
,,Paul Levy,Natural Law,153,0.32%,,,,,
,,,,,,,,,,
"Tweeddale, Ettrick and Lauderdale",,Michael Moore,Liberal Democrat,12178,31.22%,50891,1489,76.64%,Liberal Democrat Hold,02/05/97 03:41
,,Keith Geddes,Labour,10689,27.41%,,,,,
,,Alister Jack,Conservative,8623,22.11%,,,,,
,,Ian Goldie,Scottish National,6671,17.10%,,,,,
,,Christopher Mowbray,Referendum,406,1.04%,,,,,
,,John Hein,Liberal,387,0.99%,,,,,
,,Duncan Paterson,Natural Law,47,0.12%,,,,,
,,,,,,,,,,
Twickenham,,Vincent Cable,Liberal Democrat,26237,45.12%,73281,4281,79.34%,Liberal Democrat Gain,02/05/97 02:41
,,Toby Jessel,Conservative,21956,37.76%,,,,,
,,Eva Tutchell,Labour,9065,15.59%,,,,,
,,Jane Harrison,Independent,589,1.01%,,,,,
,,Terence Haggar,Rainbow Dream Ticket,155,0.27%,,,,,
,,Anthony Hardy,Natural Law,142,0.24%,,,,,
,,,,,,,,,,
Tyne Bridge,,David Clelland,Labour,26767,76.81%,61058,22906,57.08%,Labour Hold,02/05/97 00:35
,,Adrian Lee,Conservative,3861,11.08%,,,,,
,,Mary Wallace,Liberal Democrat,2785,7.99%,,,,,
,,Graeme Oswald,Referendum,919,2.64%,,,,,
,,Elaine Brunskill,Socialist,518,1.49%,,,,,
,,,,,,,,,,
Tynemouth,,Alan Campbell,Labour,28318,55.36%,66341,11273,77.11%,Labour Gain,02/05/97 02:38
,,Martin Callanan,Conservative,17045,33.32%,,,,,
,,Andrew Duffield,Liberal Democrat,4509,8.81%,,,,,
,,Clive Rook,Referendum,819,1.60%,,,,,
,,F Rogers,United Kingdom Independence,462,0.90%,,,,,
,,,,,,,,,,
Tyneside North,,Stephen Byers,Labour,32810,72.72%,66449,26643,67.90%,Labour Hold,02/05/97 01:26
,,Michael McIntyre,Conservative,6167,13.67%,,,,,
,,Tommy Mulvenna,Liberal Democrat,4762,10.55%,,,,,
,,Michael Rollings,Referendum,1382,3.06%,,,,,
,,,,,,,,,,
Tyrone West,,William Thompson,Ulster Unionist,16003,34.58%,58168,1161,79.55%,Ulster Unionist Gain,02/05/97 17:58
,,Joe Byrne,Social Democratic and Labour,14842,32.07%,,,,,
,,Pat Doherty,Sinn Féin,14280,30.86%,,,,,
,,Ann Gormley,Alliance,829,1.79%,,,,,
,,Tommy Owens,Workers',230,0.50%,,,,,
,,Robert Johnstone,Natural Law,91,0.20%,,,,,
,,,,,,,,,,
Ulster Mid,,Martin McGuinness,Sinn Féin,20294,40.05%,58836,1883,86.12%,Sinn Féin Gain,02/05/97 14:58
,,William McCrea,Democratic Unionist,18411,36.34%,,,,,
,,Denis Haughey,Social Democratic and Labour,11205,22.11%,,,,,
,,Ephrem Bogues,Alliance,460,0.91%,,,,,
,,Marian Donnelly,Workers',238,0.47%,,,,,
,,Maureen Murray,Natural Law,61,0.12%,,,,,
,,,,,,,,,,
Upminster,,Keith Darvill,Labour,19085,46.19%,57149,2770,72.30%,Labour Gain,02/05/97 01:21
,,Nicholas Bonsor,Conservative,16315,39.49%,,,,,
,,Pamela Peskett,Liberal Democrat,3919,9.48%,,,,,
,,Terry Murray,Referendum,2000,4.84%,,,,,
,,,,,,,,,,
Upper Bann,,David Trimble,Ulster Unionist,20836,43.60%,70398,9252,67.88%,Ulster Unionist Hold,02/05/97 16:35
,,Brid Rodgers,Social Democratic and Labour,11584,24.24%,,,,,
,,Bernadette O'Hagan,Sinn Féin,5773,12.08%,,,,,
,,Mervyn Carrick,Democratic Unionist,5482,11.47%,,,,,
,,William Ramsay,Alliance,3017,6.31%,,,,,
,,Tom French,Workers',554,1.16%,,,,,
,,Brian Price,Conservative,433,0.91%,,,,,
,,Jack Lyons,Natural Law,108,0.23%,,,,,
,,,,,,,,,,
Uxbridge,,Michael Shersby,Conservative,18095,43.56%,57497,724,72.26%,Conservative Hold,02/05/97 02:57
,,David Williams,Labour,17371,41.81%,,,,,
,,Andrew Malyan,Liberal Democrat,4528,10.90%,,,,,
,,Garrick Aird,Referendum,1153,2.78%,,,,,
,,Julia Leonard,Socialist,398,0.96%,,,,,
,,,,,,,,,,
Vale of Clwyd,,Chris Ruane,Labour,20617,52.69%,52418,8955,74.65%,Labour Gain,02/05/97 01:01
,,David Edwards,Conservative,11662,29.80%,,,,,
,,Daniel Munford,Liberal Democrat,3425,8.75%,,,,,
,,Gwyneth Kensler,Plaid Cymru,2301,5.88%,,,,,
,,Simon Vickers,Referendum,834,2.13%,,,,,
,,S Cooke,United Kingdom Independence,293,0.75%,,,,,
,,,,,,,,,,
Vale of Glamorgan,,John Smith,Labour,29054,53.89%,67213,10532,80.21%,Labour Gain,02/05/97 01:40
,,Walter Sweeney,Conservative,18522,34.35%,,,,,
,,Suzanne Campbell,Liberal Democrat,4945,9.17%,,,,,
,,Melanie Corp,Plaid Cymru,1393,2.58%,,,,,
,,,,,,,,,,
Vale of York,,Ann McIntosh,Conservative,23815,44.71%,70077,9721,76.01%,Conservative Gain,02/05/97 04:59
,,Matthew Carter,Labour,14094,26.46%,,,,,
,,Charles Hall,Liberal Democrat,12656,23.76%,,,,,
,,Clive Fairclough,Referendum,2503,4.70%,,,,,
,,Tony Pelton,Independent,197,0.37%,,,,,
,,,,,,,,,,
Vauxhall,,Kate Hoey,Labour,24920,63.79%,70402,18660,55.49%,Labour Hold,02/05/97 02:27
,,Keith Kerr,Liberal Democrat,6260,16.02%,,,,,
,,Richard Bacon,Conservative,5942,15.21%,,,,,
,,Ian Driver,Socialist Labour,983,2.52%,,,,,
,,Shane Collins,Green,864,2.21%,,,,,
,,Richard Headicar,Socialist,97,0.25%,,,,,
,,,,,,,,,,
Wakefield,,David Hinchliffe,Labour,28977,57.40%,73210,14604,68.96%,Labour Hold,02/05/97 01:41
,,Jonathan Peacock,Conservative,14373,28.47%,,,,,
,,Douglas Dale,Liberal Democrat,5656,11.20%,,,,,
,,Simon Shires,Referendum,1480,2.93%,,,,,
,,,,,,,,,,
Wallasey,,Angela Eagle,Labour,30264,64.61%,63714,19074,73.52%,Labour Hold,02/05/97 01:03
,,Patricia Wilcock,Conservative,11190,23.89%,,,,,
,,Peter Reisdorf,Liberal Democrat,3899,8.32%,,,,,
,,Roger Hayes,Referendum,1490,3.18%,,,,,
,,,,,,,,,,
Walsall North,,David Winnick,Labour,24517,56.62%,67587,12588,64.07%,Labour Hold,02/05/97 01:58
,,Michael Bird,Conservative,11929,27.55%,,,,,
,,Tracy O'Brien,Liberal Democrat,4050,9.35%,,,,,
,,Derek Bennett,Referendum,1430,3.30%,,,,,
,,Melvin Pitt,Independent,911,2.10%,,,,,
,,Alan Humphries,National Front,465,1.07%,,,,,
,,,,,,,,,,
Walsall South,,Bruce George,Labour,25024,57.87%,64221,11312,67.34%,Labour Hold,02/05/97 01:48
,,Leslie Leek,Conservative,13712,31.71%,,,,,
,,Harry Harris,Liberal Democrat,2698,6.24%,,,,,
,,Thomas Dent,Referendum,1662,3.84%,,,,,
,,Linda Meads,Natural Law,149,0.34%,,,,,
,,,,,,,,,,
Walthamstow,,Neil Gerrard,Labour,25287,63.13%,63818,17149,62.76%,Labour Hold,02/05/97 01:58
,,Jill Andrew,Conservative,8138,20.32%,,,,,
,,Jane Jackson,Liberal Democrat,5491,13.71%,,,,,
,,George Hargreaves,Referendum,1139,2.84%,,,,,
,,,,,,,,,,
Wansbeck,,Denis Murphy,Labour,29569,65.46%,62998,22367,71.70%,Labour Hold,02/05/97 02:52
,,Alan Thompson,Liberal Democrat,7202,15.94%,,,,,
,,Paul Green,Conservative,6299,13.94%,,,,,
,,Peter Gompertz,Referendum,1146,2.54%,,,,,
,,Nic Best,Green,956,2.12%,,,,,
,,,,,,,,,,
Wansdyke,,Dan Norris,Labour,24117,44.07%,69032,4799,79.27%,Labour Gain,02/05/97 02:45
,,Mark Prisk,Conservative,19318,35.30%,,,,,
,,Jeff Manning,Liberal Democrat,9205,16.82%,,,,,
,,Kevin Clinton,Referendum,1327,2.42%,,,,,
,,TS Hunt,United Kingdom Independence,438,0.80%,,,,,
,,Peter House,Monster Raving Loony,225,0.41%,,,,,
,,Sue Lincoln,Natural Law,92,0.17%,,,,,
,,,,,,,,,,
Wantage,,Robert Jackson,Conservative,22311,39.81%,71657,6089,78.22%,Conservative Hold,02/05/97 03:32
,,Celia Wilson,Labour,16222,28.94%,,,,,
,,Jenny Riley,Liberal Democrat,14862,26.52%,,,,,
,,Stuart Rising,Referendum,1549,2.76%,,,,,
,,Miriam Kennett,Green,640,1.14%,,,,,
,,Nikolai Tolstoy,United Kingdom Independence,465,0.83%,,,,,
,,,,,,,,,,
Warley,,John Spellar,Labour,24813,63.80%,59758,15451,65.08%,Labour Hold,02/05/97 00:23
,,Christopher Pincher,Conservative,9362,24.07%,,,,,
,,Jeremy Pursehouse,Liberal Democrat,3777,9.71%,,,,,
,,Krishna Gamre,Referendum,941,2.42%,,,,,
,,,,,,,,,,
Warrington North,,Helen Jones,Labour,31827,62.10%,72694,19527,70.50%,Labour Hold,02/05/97 02:31
,,Ray Lacey,Conservative,12300,24.00%,,,,,
,,Ian Greenhalgh,Liberal Democrat,5308,10.36%,,,,,
,,Arthur Smith,Referendum,1816,3.54%,,,,,
,,,,,,,,,,
Warrington South,,Helen Southworth,Labour,28721,52.14%,72262,10807,76.23%,Labour Hold,02/05/97 02:52
,,Christopher Grayling,Conservative,17914,32.52%,,,,,
,,Peter Walker,Liberal Democrat,7199,13.07%,,,,,
,,Gerald Kelly,Referendum,1082,1.96%,,,,,
,,Steve Ross,Natural Law,166,0.30%,,,,,
,,,,,,,,,,
Warwick and Leamington,,James Plaskitt,Labour,26747,44.51%,79374,3398,75.71%,Labour Gain,02/05/97 03:37
,,Dudley Smith,Conservative,23349,38.86%,,,,,
,,Nigel Hicks,Liberal Democrat,7133,11.87%,,,,,
,,Val Davis,Referendum,1484,2.47%,,,,,
,,Paul Baptie,Green,764,1.27%,,,,,
,,Greville Warwick,Independent,306,0.51%,,,,,
,,Michael Gibbs,Independent,183,0.30%,,,,,
,,Roddy McCarthy,Natural Law,125,0.21%,,,,,
,,,,,,,,,,
Warwickshire North,,Michael O'Brien,Labour,31669,58.39%,72602,14767,74.71%,Labour Hold,02/05/97 04:48
,,Stephen Hammond,Conservative,16902,31.16%,,,,,
,,William Powell,Liberal Democrat,4040,7.45%,,,,,
,,Ron Mole,Referendum,917,1.69%,,,,,
,,CT Cooke,United Kingdom Independence,533,0.98%,,,,,
,,Ian Moorecroft,Independent,178,0.33%,,,,,
,,,,,,,,,,
Watford,,Clare Ward,Labour,25019,45.29%,74015,5792,74.63%,Labour Gain,02/05/97 04:07
,,Robert Gordon,Conservative,19227,34.81%,,,,,
,,Andrew Canning,Liberal Democrat,9272,16.79%,,,,,
,,Philip Roe,Referendum,1484,2.69%,,,,,
,,Leslie Davis,Natural Law,234,0.42%,,,,,
,,,,,,,,,,
Waveney,,Robert Blizzard,Labour,31486,55.97%,75266,12093,74.74%,Labour Gain,02/05/97 02:20
,,David Porter,Conservative,19393,34.48%,,,,,
,,Christopher Thomas,Liberal Democrat,5054,8.98%,,,,,
,,Neil Clark,Natural Law,318,0.57%,,,,,
,,,,,,,,,,
Wavertree,,Jane Kennedy,Labour,29592,64.45%,73063,19701,62.85%,Labour Hold,02/05/97 01:24
,,Richard Kemp,Liberal Democrat,9891,21.54%,,,,,
,,Christopher Malthouse,Conservative,4944,10.77%,,,,,
,,Peter Worthington,Referendum,576,1.25%,,,,,
,,Keith McCullough,Liberal,391,0.85%,,,,,
,,Rachel Kingsley,People's Labour,346,0.75%,,,,,
,,Carole Corkhill,Workers' Revolutionary,178,0.39%,,,,,
,,,,,,,,,,
Wealden,,Geoffrey Johnson Smith,Conservative,29417,49.78%,79519,14204,74.32%,Conservative Hold,02/05/97 04:53
,,Michael Skinner,Liberal Democrat,15213,25.74%,,,,,
,,Nicholas Levine,Labour,10185,17.23%,,,,,
,,Barry Taplin,Referendum,3527,5.97%,,,,,
,,M J English,United Kingdom Independence,569,0.96%,,,,,
,,Paul Cragg,Natural Law,188,0.32%,,,,,
,,,,,,,,,,
Weaver Vale,,Mike Hall,Labour,27244,56.40%,66011,13448,73.17%,Labour Gain,02/05/97 04:17
,,James Byrne,Conservative,13796,28.56%,,,,,
,,Trevor Griffiths,Liberal Democrat,5949,12.32%,,,,,
,,Roger Cockfield,Referendum,1312,2.72%,,,,,
,,,,,,,,,,
Wellingborough,,Paul Stinchcombe,Labour,24854,44.15%,74955,187,75.10%,Labour Gain,02/05/97 03:13
,,Peter Fry,Conservative,24667,43.82%,,,,,
,,Peter Smith,Liberal Democrat,5279,9.38%,,,,,
,,AR Ellwood,United Kingdom Independence,1192,2.12%,,,,,
,,Annie Lorys,Natural Law,297,0.53%,,,,,
,,,,,,,,,,
Wells,,David Heathcoat-Amory,Conservative,22208,39.39%,72178,528,78.11%,Conservative Hold,02/05/97 03:33
,,Peter Gold,Liberal Democrat,21680,38.45%,,,,,
,,Michael Eavis,Labour,10204,18.10%,,,,,
,,Patricia Phelps,Referendum,2196,3.89%,,,,,
,,Lynn Royse,Natural Law,92,0.16%,,,,,
,,,,,,,,,,
Welwyn Hatfield,,Melanie Johnson,Labour,24936,47.08%,67395,5595,78.59%,Labour Gain,02/05/97 04:27
,,David Evans,Conservative,19341,36.51%,,,,,
,,Rodney Schwartz,Liberal Democrat,7161,13.52%,,,,,
,,Ernest Cox,Independent,1263,2.38%,,,,,
,,Helen Harold,People's Labour,267,0.50%,,,,,
,,,,,,,,,,
Wentworth,,John Healey,Labour,30225,72.34%,63951,23959,65.33%,Labour Hold,02/05/97 01:47
,,Karl Hamer,Conservative,6266,15.00%,,,,,
,,James Charters,Liberal Democrat,3867,9.26%,,,,,
,,Andrew Battley,Referendum,1423,3.41%,,,,,
,,,,,,,,,,
West Bromwich East,,Peter Snape,Labour,23710,57.15%,63401,13584,65.44%,Labour Hold,02/05/97 00:51
,,Brian Matsell,Conservative,10126,24.41%,,,,,
,,Martyn Smith,Liberal Democrat,6179,14.89%,,,,,
,,Graham Mulley,Referendum,1472,3.55%,,,,,
,,,,,,,,,,
West Bromwich West,,Betty Boothroyd,The Speaker,23969,65.32%,67496,15423,54.37%,The Speaker Hold,02/05/97 00:46
,,Richard Silvester,Independent,8546,23.29%,,,,,
,,Stephen Edwards,National Democratic Resistance,4181,11.39%,,,,,
,,,,,,,,,,
West Ham,,Anthony L Banks,Labour,24531,72.88%,57058,19494,58.99%,Labour Hold,02/05/97 03:16
,,Mark MacGregor,Conservative,5037,14.96%,,,,,
,,Samantha McDonough,Liberal Democrat,2479,7.36%,,,,,
,,Kenneth Francis,British National,1198,3.56%,,,,,
,,Toby Jug,Monster Raving Loony,300,0.89%,,,,,
,,Jonathan Rainbow,Rainbow Dream Ticket,116,0.34%,,,,,
,,,,,,,,,,
Westbury,,David Faber,Conservative,23037,40.61%,74301,6088,76.35%,Conservative Hold,02/05/97 03:49
,,John Miller,Liberal Democrat,16949,29.88%,,,,,
,,Kevin D Small,Labour,11969,21.10%,,,,,
,,George Hawkins,Liberal,1956,3.45%,,,,,
,,Nick Hawkings-Byass,Referendum,1909,3.37%,,,,,
,,RA Westbury,United Kingdom Independence,771,1.36%,,,,,
,,Colin Haysom,Natural Law,140,0.25%,,,,,
,,,,,,,,,,
Western Isles,,Calum MacDonald,Labour,8955,55.60%,22983,3576,70.08%,Labour Hold,02/05/97 02:15
,,Anne Lorne Gillies,Scottish National,5379,33.40%,,,,,
,,James McGrigor,Conservative,1071,6.65%,,,,,
,,Neil Mitchison,Liberal Democrat,495,3.07%,,,,,
,,Ralph Lionel,Referendum,206,1.28%,,,,,
,,,,,,,,,,
Westmorland and Lonsdale,,Tim Collins,Conservative,21463,42.27%,68389,4521,74.25%,Conservative Hold,02/05/97 03:05
,,Stan Collins,Liberal Democrat,16942,33.36%,,,,,
,,John Harding,Labour,10452,20.58%,,,,,
,,Michael Smith,Referendum,1924,3.79%,,,,,
,,,,,,,,,,
Weston-super-Mare,,Brian J Cotter,Liberal Democrat,21407,40.11%,72445,1274,73.68%,Liberal Democrat Gain,02/05/97 01:21
,,Margaret Daly,Conservative,20133,37.72%,,,,,
,,Derek Kraft,Labour,9557,17.90%,,,,,
,,Tom Sewell,Referendum,2280,4.27%,,,,,
,,,,,,,,,,
Wigan,,Roger Stott,Labour,30043,68.56%,64689,22643,67.74%,Labour Hold,02/05/97 01:29
,,Mark Loveday,Conservative,7400,16.89%,,,,,
,,Trevor Beswick,Liberal Democrat,4390,10.02%,,,,,
,,Anthony Bradborn,Referendum,1450,3.31%,,,,,
,,Christopher Maile,Green,442,1.01%,,,,,
,,William Ayliffe,Natural Law,94,0.21%,,,,,
,,,,,,,,,,
Wiltshire North,,James Gray,Conservative,25390,43.77%,77237,3475,75.11%,Conservative Hold,02/05/97 03:05
,,Simon Cordon,Liberal Democrat,21915,37.78%,,,,,
,,Nigel Knowles,Labour,8261,14.24%,,,,,
,,Margaret Purves,Referendum,1774,3.06%,,,,,
,,Alan Wood,United Kingdom Independence,410,0.71%,,,,,
,,Joan Forsyth,Natural Law,263,0.45%,,,,,
,,,,,,,,,,
Wimbledon,,Roger Casale,Labour,20674,42.76%,64070,2990,75.45%,Labour Gain,02/05/97 02:23
,,Charles Goodson-Wickes,Conservative,17684,36.58%,,,,,
,,Alison Willott,Liberal Democrat,8014,16.58%,,,,,
,,Hammed Abid,Referendum,993,2.05%,,,,,
,,Rajeev Thacker,Green,474,0.98%,,,,,
,,Sophie Davies,People's Labour,346,0.72%,,,,,
,,Matthew Kirby,Independent,112,0.23%,,,,,
,,Graham Stacey,Rainbow Dream Ticket,47,0.10%,,,,,
,,,,,,,,,,
Winchester,,Mark Oaten,Liberal Democrat,26100,42.06%,78884,2,78.66%,Liberal Democrat Gain,02/05/97 18:18
,,Gerry Malone,Conservative,26098,42.06%,,,,,
,,Patrick Davies,Labour,6528,10.52%,,,,,
,,Peter Strand,Referendum,1598,2.58%,,,,,
,,Richard Huggett,Independent,640,1.03%,,,,,
,,Derek Rumsey,United Kingdom Independence,476,0.77%,,,,,
,,John Browne,Independent,307,0.49%,,,,,
,,Peter Stockton,Monster Raving Loony,307,0.49%,,,,,
,,,,,,,,,,
Windsor,,Michael Trend,Conservative,24476,48.20%,69132,9917,73.46%,Conservative Gain,02/05/97 03:18
,,Chris Fox,Liberal Democrat,14559,28.67%,,,,,
,,Amanda Williams,Labour,9287,18.29%,,,,,
,,James McDermott,Referendum,1676,3.30%,,,,,
,,Paul Bradshaw,Liberal,388,0.76%,,,,,
,,E Bigg,United Kingdom Independence,302,0.59%,,,,,
,,Ronald Parr,Independent,93,0.18%,,,,,
,,,,,,,,,,
Wirral South,,Ben Chapman,Labour,24499,50.94%,59372,7004,81.01%,Labour Gain,02/05/97 00:59
,,Les Byrom,Conservative,17495,36.38%,,,,,
,,Phil Gilchrist,Liberal Democrat,5018,10.43%,,,,,
,,Donald Wilcox,Referendum,768,1.60%,,,,,
,,Jane Nielsen,People's Labour,264,0.55%,,,,,
,,Geoffrey Mead,Natural Law,51,0.11%,,,,,
,,,,,,,,,,
Wirral West,,Stephen Hesford,Labour,21035,44.86%,60908,2738,76.98%,Labour Gain,02/05/97 00:59
,,David Hunt,Conservative,18297,39.02%,,,,,
,,John Thornton,Liberal Democrat,5945,12.68%,,,,,
,,Derek Wharton,Referendum,1613,3.44%,,,,,
,,,,,,,,,,
Witney,,Shaun Woodward,Conservative,24282,43.05%,73520,7028,76.72%,Conservative Hold,02/05/97 03:35
,,Alexander Hollingsworth,Labour,17254,30.59%,,,,,
,,Angela Lawrence,Liberal Democrat,11202,19.86%,,,,,
,,Geoffrey Brown,Referendum,2262,4.01%,,,,,
,,Michael Montgomery,United Kingdom Independence,765,1.36%,,,,,
,,Sue Chaple-Perrie,Green,636,1.13%,,,,,
,,,,,,,,,,
Woking,,Humfrey Malins,Conservative,19553,38.40%,70053,5678,72.68%,Conservative Hold,02/05/97 03:29
,,Philip Goldenberg,Liberal Democrat,13875,27.25%,,,,,
,,Katie Hanson,Labour,10695,21.01%,,,,,
,,Hugh Bell,Independent,3933,7.72%,,,,,
,,Christopher Skeate,Referendum,2209,4.34%,,,,,
,,M Harvey,United Kingdom Independence,512,1.01%,,,,,
,,Deirdre Sleeman,Natural Law,137,0.27%,,,,,
,,,,,,,,,,
Wokingham,,John Redwood,Conservative,25086,50.06%,66161,9365,75.74%,Conservative Hold,02/05/97 03:16
,,Royce Longton,Liberal Democrat,15721,31.37%,,,,,
,,Patricia Colling,Labour,8424,16.81%,,,,,
,,Peter Owen,Monster Raving Loony,877,1.75%,,,,,
,,,,,,,,,,
Wolverhampton North East,,Ken Purchase,Labour Co-op,24534,59.26%,61642,12987,67.17%,Labour/Co-operative Hold,02/05/97 00:55
,,David Harvey,Conservative,11547,27.89%,,,,,
,,Brian Niblett,Liberal Democrat,2214,5.35%,,,,,
,,Colin Hallmark,Liberal,1560,3.77%,,,,,
,,Andrew Muchall,Referendum,1192,2.88%,,,,,
,,Martin Wingfield,National Democratic Resistance,356,0.86%,,,,,
,,,,,,,,,,
Wolverhampton South East,,Dennis Turner,Labour Co-op,22202,63.74%,54291,15182,64.15%,Labour/Co-operative Hold,02/05/97 00:47
,,William Hanbury,Conservative,7020,20.16%,,,,,
,,Richard Whitehouse,Liberal Democrat,3292,9.45%,,,,,
,,Trevor Stevenson-Platt,Referendum,980,2.81%,,,,,
,,Nick Worth,Socialist Labour,689,1.98%,,,,,
,,Kenneth Bullman,Liberal,647,1.86%,,,,,
,,,,,,,,,,
Wolverhampton South West,,Jenny Jones,Labour,24657,50.40%,67482,5118,72.49%,Labour Gain,02/05/97 00:52
,,Nicholas Budgen,Conservative,19539,39.94%,,,,,
,,Matthew Green,Liberal Democrat,4012,8.20%,,,,,
