General election results 2010,,,Party,Votes,Share,*lost deposit,change since 2005,
, ,"Nicholson, C.A.",LD,16'778,35.8,,+,6.3
, ,"Bhansali, V.R.",Con,8'578,18.3,,+,2
, ,"Findlay, R. Ms.",GRN,861,1.8,*,-,3.7
, ,"Macharia, G.W.",Ch P,237,0.5,*,, 
, ,"Polenceus, J.",ED,229,0.5,*,, 
, ,"Lepper, P.R.",WRP,117,0.2,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,3'259,7,, , 
Stretford and Urmston [545],70'991,63.3,"Green, K. Ms.",Lab,21'821,48.6,,-,2.8
, ,"Williams, A.",Con,12'886,28.7,,-,1.4
, ,"Cooke, S.",LD,7'601,16.9,,+,3
, ,"Owen, D.",UKIP,1'508,3.4,*,+,1.1
, ,"Westbrook, M.E. Ms.",GRN,916,2,*,, 
, ,"Jacob, S.A.",Ch P,178,0.4,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,8'935,19.9,, , 
Stroud [546],78'286,74.1,"Carmichael, W.N.",Con,23'679,40.8,,+,2.5
, ,"Drew, D.E.*",Lab,22'380,38.6,,-,1.5
, ,"Andrewartha, D.A.",LD,8'955,15.4,,+,1.5
, ,"Whiteside, M.J.",GRN,1'542,2.7,*,-,3
, ,"Parker, S.A.",UKIP,1'301,2.2,*,+,0.3
, ,"Lomas, A.E.",Ind,116,0.2,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,1'299,2.2,, , 
Suffolk Central and Ipswich North [547],75'786,70.5,"Poulter, D.L.J.",Con,27'125,50.8,,+,6.2
, ,"Aalders-Dunthorne, A.P.",LD,13'339,25,,+,4.7
, ,"Joshi, B. Ms.",Lab,8'636,16.2,,-,12.3
, ,"Philpot, R.B.",UKIP,2'361,4.4,*,+,0.9
, ,"Stringer, A.G.",GRN,1'452,2.7,*,-,0.6
, ,"Trevitt, W.H.",Ind,389,0.7,*,, 
, ,"Vass, R.A.",New ,118,0.2,*,, 
, , , ,-----,---,, , 
2005: Con,, , ,13'786,25.8,, , 
Suffolk Coastal [548],76'572,71.7,"Coffey, T.A. Ms.",Con,25'475,46.4,,+,1.8
, ,"Cooper, D. Ms.",LD,16'347,29.8,,+,7.7
, ,"Leeder, A.J.",Lab,8'812,16.1,,-,10.1
, ,"Bush, S.F.",UKIP,3'156,5.7,,+,1.9
, ,"Fulcher, R. Ms.",GRN,1'103,2,*,-,1.3
, , , ,-----,---,, , 
2005: Con,, , ,9'128,16.6,, , 
Suffolk South [549],72'498,70.9,"Yeo, T.S.K.*",Con,24'550,47.7,,+,5.7
, ,"Bennett, N.A.",LD,15'861,30.8,,+,2.4
, ,"Bishton, E.J. Ms.",Lab,7'368,14.3,,-,10.1
, ,"Campbell Bannerman, D.",UKIP,3'637,7.1,,+,2
, , , ,-----,---,, , 
2005: Con,, , ,8'689,16.9,, , 
Suffolk West [550],74'374,64.7,"Hancock, M.",Con,24'312,50.6,,+,1.7
, ,"Brooks-Gordon, B.M. Ms.",LD,11'262,23.4,,+,6.2
, ,"Ahmed, A.M.O.",Lab,7'089,14.7,,-,14.2
, ,"Smith, I.J.",UKIP,3'085,6.4,,+,1.5
, ,"Johns, R.P.",BNP,1'428,3,*,, 
, ,"Appleby, A.J.",Ind,540,1.1,*,, 
, ,"Young, C.",CPA,373,0.8,*,, 
, , , ,-----,---,, , 
2005: Con,, , ,13'050,27.1,, , 
Sunderland Central [551],74'485,57,"Elliott, J. Ms.",Lab,19'495,45.9,,-,4.1
, ,"Martin, L.",Con,12'770,30.1,,+,5.6
, ,"Dixon, P.",LD,7'191,16.9,,+,0.1
, ,"McCaffrey, J.V.",BNP,1'913,4.5,*,+,1.4
, ,"Featonby-Warren, P. Ms.",UKIP,1'094,2.6,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,6'725,15.8,, , 
Surrey East [552],76'855,71.1,"Gyimah, S.",Con,31'007,56.7,,+,0.6
, ,"Lee, D.",LD,14'133,25.9,,+,2
, ,"Rodda, M.",Lab,4'925,9,,-,5.8
, ,"Windsor, H. Ms.",UKIP,3'770,6.9,,+,2.5
, ,"Hogbin, M.",MRLP,422,0.8,*,, 
, ,"Pratt, S.",Ind,383,0.7,*,, 
, , , ,-----,---,, , 
2005: Con,, , ,16'874,30.9,, , 
Surrey Heath [553],78'107,69.6,"Gove, M.A.*",Con,31'326,57.6,,+,6.2
, ,"Hilliar, A.R.",LD,14'037,25.8,,-,3
, ,"Willey, M.J.",Lab,5'552,10.2,,-,6.5
, ,"Stroud, M.",UKIP,3'432,6.3,,+,3.3
, , , ,-----,---,, , 
2005: Con,, , ,17'289,31.8,, , 
Surrey South West [554],76'501,74.8,"Hunt, J.*",Con,33'605,58.7,,+,8.1
, ,"Simpson, M.",LD,17'287,30.2,,-,9.2
, ,"Mollet, R.J.",Lab,3'419,6,,-,1.9
, ,"Meekins, R.",UKIP,1'486,2.6,*,+,0.8
, ,"Allan, C.T. Ms.",GRN,690,1.2,*,, 
, ,"Hamilton, H.J. Ms.",BNP,644,1.1,*,, 
, ,"Leighton, L.K.C.",Pirate,94,0.2,*,, 
, ,"Price, A.S.",ND,34,0.1,*,, 
, , , ,-----,---,, , 
2005: Con,, , ,16'318,28.5,, , 
Sussex Mid [555],77'199,72.4,"Soames, N.*",Con,28'329,50.7,,+,2.5
, ,"Tierney, S. Ms.",LD,20'927,37.5,,+,1.8
, ,"Boot, D.T.",Lab,3'689,6.6,,-,6.2
, ,"Montgomery, M.D.",UKIP,1'423,2.5,*,-,0.7
, ,"Brown, P.",GRN,645,1.2,*,, 
, ,"Minihane, S.A.",BNP,583,1,*,, 
, ,"Thunderclap, B.",MRLP,259,0.5,*,, 
, , , ,-----,---,, , 
2005: Con,, , ,7'402,13.3,, , 
Sutton and Cheam [556],66'658,72.8,"Burstow, P.K.*",LD,22'156,45.7,,-,1.2
, ,"Stroud, P.C. Ms.",Con,20'548,42.4,,+,1.7
, ,"Allen, K. Ms.",Lab,3'376,7,,-,4.9
, ,"Clarke, J.J.",BNP,1'014,2.1,*,, 
, ,"Pickles, D.J.",UKIP,950,2,*,, 
, ,"Hickson, P.H.",GRN,246,0.5,*,, 
, ,"Dodds, J.B.",ED,106,0.2,*,, 
, ,"Connolly, M.B.",CPA,52,0.1,*,, 
, ,"Cullip, M.J.",Libert,41,0.1,*,, 
, ,"Hammond, B.R.",IFED,19,0,*,, 
, , , ,-----,---,, , 
2005: LD,, , ,1'608,3.3,, , 
Sutton Coldfield [557],74'489,67.9,"Mitchell, A.J.B.*",Con,27'303,54,,+,1.4
, ,"Pocock, R.L.",Lab,10'298,20.4,,-,5.5
, ,"Brighton, R.A.",LD,9'117,18,,+,1.4
, ,"Grierson, R.J.",BNP,1'749,3.5,*,, 
, ,"Siddall-Jones, E.",UKIP,1'587,3.1,*,-,1.8
, ,"Rooney, J.",GRN,535,1.1,*,, 
, , , ,-----,---,, , 
2005: Con,, , ,17'005,33.6,, , 
Swansea East [558],59'823,54.6,"James, S. Ms.*",Lab,16'819,51.5,,-,5.1
, ,"Speht, R.",LD,5'981,18.3,,-,1.8
, ,"Holliday, C.J.",Con,4'823,14.8,,+,4.7
, ,"Jones, D.",PC,2'181,6.7,,-,0.2
, ,"Bennett, C.",BNP,1'715,5.2,,+,2.8
, ,"Rogers, D.J.",UKIP,839,2.6,*,+,0.4
, ,"Young, T.",GRN,318,1,*,-,0.6
, , , ,-----,---,, , 
2005: Lab,, , ,10'838,33.2,, , 
Swansea West [559],61'334,58,"Davies, G.R.",Lab,12'335,34.7,,-,7.2
, ,"May, P.N.",LD,11'831,33.2,,+,4.3
, ,"Kinzett, R.H.",Con,7'407,20.8,,+,4.8
, ,"Roberts, H.",PC,1'437,4,*,-,2.5
, ,"Bateman, A.",BNP,910,2.6,*,, 
, ,"Jenkins, T.C.",UKIP,716,2,*,+,0.2
, ,"Ross, K.M.",GRN,404,1.1,*,-,1.1
, ,"McCloy, I.A.",Ind,374,1.1,*,, 
, ,"Williams, R.",TUSC,179,0.5,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,504,1.4,, , 
Swindon North [560],78'384,64.2,"Tomlinson, J.P.",Con,22'408,44.6,,+,5.7
, ,"Agarwal, V.",Lab,15'348,30.5,,-,14.6
, ,"Lock, K.J. Ms.",LD,8'668,17.2,,+,4.4
, ,"Halden, S.F.",UKIP,1'842,3.7,*,+,1.4
, ,"Bates, R.J.",BNP,1'542,3.1,*,, 
, ,"Hughes, J.V.",GRN,487,1,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,7'060,14,, , 
Swindon South [561],72'619,64.9,"Buckland, R.J.",Con,19'687,41.8,,+,4.9
, ,"Snelgrove, A.C. Ms.*",Lab,16'143,34.3,,-,6.2
, ,"Hooton, D.J.",LD,8'305,17.6,,+,0.6
, ,"Tingey, R.H.",UKIP,2'029,4.3,*,+,2.1
, ,"Miles, J.A. Ms.",GRN,619,1.3,*,-,1.6
, ,"Kirk, A.J.",Ch P,176,0.4,*,, 
, ,"Evans, K.",Ind,160,0.3,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,3'544,7.5,, , 
Tamworth [562],71'962,64.5,"Pincher, C.",Con,21'238,45.8,,+,8.7
, ,"Jenkins, B.D.*",Lab,15'148,32.7,,-,10.3
, ,"Pinkett, J. Ms.",LD,7'516,16.2,,+,2.1
, ,"Smith, P.W.",UKIP,2'253,4.9,*,+,2.1
, ,"Detheridge, C.A. Ms.",Ch P,235,0.5,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,6'090,13.1,, , 
Tatton [563],66'746,67.8,"Osborne, G.*",Con,24'687,54.6,,+,3.1
, ,"Lomax, D.W.",LD,10'200,22.6,,+,0.8
, ,"Jackson, R.A.",Lab,7'803,17.3,,-,6.5
, ,"Flannery, S.C. Ms.",Ind,2'243,5,*,, 
, ,"Gibson, M.G.",Poet,298,0.7,*,, 
, , , ,-----,---,, , 
2005: Con,, , ,14'487,32,, , 
Taunton Deane [564],82'507,70.5,"Browne, J.R.*",LD,28'531,49.1,,+,4.7
, ,"Formosa, M.A.",Con,24'538,42.2,,+,1.1
, ,"Jevon, M.L.P.",Lab,2'967,5.1,,-,7
, ,"McIntyre, T.",UKIP,2'114,3.6,*,+,1.2
, , , ,-----,---,, , 
2005: LD,, , ,3'993,6.9,, , 
Telford [565],65'061,63.5,"Wright, D.*",Lab,15'974,38.7,,-,9.5
, ,"Biggins, T.H.",Con,14'996,36.3,,+,3.2
, ,"Bennion, R.P.",LD,6'399,15.5,,+,1.4
, ,"Allen, D.G.",UKIP,2'428,5.9,,+,1.2
, ,"Spencer, P.W.",BNP,1'513,3.7,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,978,2.4,, , 
Tewkesbury [566],76'655,70.4,"Robertson, L.A.*",Con,25'472,47.2,,-,1
, ,"Cameron, A.R.",LD,19'162,35.5,,+,7.1
, ,"Emmerson, S.",Lab,6'253,11.6,,-,8.7
, ,"Jones, B.A.",UKIP,2'230,4.1,*,, 
, ,"Sidford, M.J.",GRN,525,1,*,-,2.2
, ,"Ridgeon, G.F.",MRLP,319,0.6,*,, 
, , , ,-----,---,, , 
2005: Con,, , ,6'310,11.7,, , 
Thanet North [567],68'602,63.2,"Gale, R.J.*",Con,22'826,52.7,,+,4.7
, ,"Britton, M.K.",Lab,9'298,21.5,,-,11.1
, ,"Murphy, L.J. Ms.",LD,8'400,19.4,,+,3.8
, ,"Parker, R.M. Ms.",UKIP,2'819,6.5,,+,2.6
, , , ,-----,---,, , 
2005: Con,, , ,13'528,31.2,, , 
Thanet South [568],70'045,65.6,"Sandys, L.J. Ms.",Con,22'043,48,,+,6.8
, ,"Ladyman, S.J.*",Lab,14'426,31.4,,-,8.1
, ,"Bucklitsch, P.J.",LD,6'935,15.1,,+,2.9
, ,"Shonk, T.L.",UKIP,2'529,5.5,,+,0.7
, , , ,-----,---,, , 
2005: Con,, , ,7'617,16.6,, , 
Thirsk and Malton [569],76'416,49.9,"McIntosh, A. Ms.*",Con,20'167,52.9,,+,1
, ,"Keal, H.",LD,8'886,23.3,,+,4.5
, ,"Roberts, J.",Lab,5'169,13.6,,-,9.8
, ,"Horton, T.",UKIP,2'502,6.6,,+,3.5
, ,"Clark, J.S.",Lib,1'418,3.7,*,, 
, , , ,-----,---,, , 
2005: Con,, , ,11'281,29.6,, , 
Thornbury and Yate [570],64'092,75.2,"Webb, S.J.*",LD,25'032,51.9,,-,2.4
, ,"Riddle, M.R.",Con,17'916,37.2,,+,6.3
, ,"Egan, R.R. Ms.",Lab,3'385,7,,-,3.8
, ,"Knight, J. Ms.",UKIP,1'709,3.5,*,+,1.8
, ,"Beacham, T.E.R.",IFED,126,0.3,*,, 
, ,"Clements, A.G.A.",ND,58,0.1,*,, 
, , , ,-----,---,, , 
2005: LD,, , ,7'116,14.8,, , 
Thurrock [571],77'758,58.9,"Doyle-Price, J. Ms.",Con,16'869,36.8,,+,3.6
, ,"Morris, C.A.G.",Lab,16'777,36.6,,-,9.6
, ,"Davis, C. Ms.",LD,4'901,10.7,,-,0.4
, ,"Colgate, E.L. Ms.",BNP,3'618,7.9,,+,1.8
, ,"Broad, C.H.",UKIP,3'390,7.4,,+,4
, ,"Araba, A.I. Ms.",Ch P,266,0.6,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,92,0.2,, , 
Tiverton and Honiton [572],76'808,71.5,"Parish, N.Q.G.",Con,27'614,50.3,,+,3.6
, ,"Underwood, J.W.R.",LD,18'294,33.3,,+,4.2
, ,"Whitlock, V.C.",Lab,4'907,8.9,,-,4.4
, ,"Stanbury, D.P.",UKIP,3'277,6,,+,1.2
, ,"Connor, C.D. Ms.",GRN,802,1.5,*,-,1.3
, , , ,-----,---,, , 
2005: Con,, , ,9'320,17,, , 
Tonbridge and Malling [573],71'790,71.5,"Stanley, J.P.*",Con,29'723,57.9,,+,5
, ,"Simpson, L. Ms.",LD,11'545,22.5,,+,3
, ,"Griffiths, D.",Lab,6'476,12.6,,-,11.3
, ,"Waller, D.L.",UKIP,1'911,3.7,*,-,0
, ,"Dawe, S.",GRN,764,1.5,*,, 
, ,"Easter, M.",NF,505,1,*,, 
, ,"Rogers, L. Ms.",ED,390,0.8,*,, 
, , , ,-----,---,, , 
2005: Con,, , ,18'178,35.4,, , 
Tooting [574],73'840,68.6,"Khan, S.A.*",Lab,22'038,43.5,,+,0.8
, ,"Clarke, M.A.",Con,19'514,38.5,,+,8
, ,"Butt, N.M.",LD,7'509,14.8,,-,4.8
, ,"McDonald, S.D.",UKIP,624,1.2,*,+,0.2
, ,"Vickery, A.R.",GRN,609,1.2,*,-,2.9
, ,"John-Richards, S. Ms.",Ind,190,0.4,*,, 
, ,"Paul, S.H. Ms.",Ch P,171,0.3,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,2'524,5,, , 
Torbay [575],76'244,64.5,"Sanders, A.M.*",LD,23'126,47,,+,5.2
, ,"Wood, C.M.A.",Con,19'048,38.7,,+,2.9
, ,"Pedrick-Friend, D.",Lab,3'231,6.6,,-,7.9
, ,"Parrott, J.H.",UKIP,2'628,5.3,,-,2.7
, ,"Conway, A.P. Ms.",BNP,709,1.4,*,, 
, ,"Moss, S.A.",GRN,468,1,*,, 
, , , ,-----,---,, , 
2005: LD,, , ,4'078,8.3,, , 
Torfaen [576],61'183,61.5,"Murphy, P.P.*",Lab,16'847,44.8,,-,12.1
, ,"Burns, J.H.",Con,7'541,20,,+,4.2
, ,"Morgan, D.P.",LD,6'264,16.6,,+,0.9
, ,"ab Elis, R.G.",PC,2'005,5.3,,-,0.9
, ,"Noble, J. Ms.",BNP,1'657,4.4,*,, 
, ,"Wildgust, F.",Ind,1'419,3.8,*,, 
, ,"Dunn, G.",UKIP,862,2.3,*,-,0.9
, ,"Turner-Thomas, R.J.",Ind,607,1.6,*,, 
, ,"Clarke, O.",GRN,438,1.2,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,9'306,24.7,, , 
Totnes [577],67'962,70.4,"Wollaston, S. Ms.",Con,21'940,45.9,,+,3
, ,"Brazil, J.C.M.",LD,17'013,35.6,,-,1.5
, ,"Whitty, C.A. Ms.",Lab,3'538,7.4,,-,4.7
, ,"Beer, J.S.",UKIP,2'890,6,,-,1.5
, ,"Somerville, L.H. Ms.",GRN,1'181,2.5,*,, 
, ,"Turner, M.H.",BNP,624,1.3,*,, 
, ,"Drew, S.B.",Ind,390,0.8,*,, 
, ,"Hopwood, S.",Ind,267,0.6,*,, 
, , , ,-----,---,, , 
2005: Con,, , ,4'927,10.3,, , 
Tottenham [578],68'834,59.1,"Lammy, D.*",Lab,24'128,59.3,,+,1.4
, ,"Schmitz, D.R.",LD,7'197,17.7,,+,0.9
, ,"Sullivan, S.",Con,6'064,14.9,,+,1.4
, ,"Sutton, J. Ms.",TUSC,1'057,2.6,*,, 
, ,"Gray, A.M. Ms.",GRN,980,2.4,*,-,2.2
, ,"McKenzie, W.T.",UKIP,466,1.1,*,, 
, ,"Watson, N.K.",IPT,265,0.7,*,, 
, ,"Kadara, A. Ms.",Ch P,262,0.6,*,, 
, ,"Thompson, S.G.L.",Ind,143,0.4,*,, 
, ,"Carr, E.W.E.",Ind,125,0.3,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,16'931,41.6,, , 
Truro and Falmouth [579],70'598,69.1,"Newton, S.L. Ms.",Con,20'349,41.7,,+,10
, ,"Teverson, T.L. Ms.",LD,19'914,40.8,,-,0.1
, ,"Mackenzie, C. Ms.",Lab,4'697,9.6,,-,9.4
, ,"Blakeley, H.F.",UKIP,1'911,3.9,*,-,1.8
, ,"Rich, L.J.",MK,1'039,2.1,*,, 
, ,"Wright, I.N.",GRN,858,1.8,*,, 
, , , ,-----,---,, , 
2005: LD,, , ,435,0.9,, , 
Tunbridge Wells [580],73'855,68.1,"Clark, G.D.*",Con,28'302,56.2,,+,5.6
, ,"Hallas, D.M.",LD,12'726,25.3,,+,0
, ,"Heather, G.F.J.",Lab,5'448,10.8,,-,9.6
, ,"Webb, V.C.",UKIP,2'054,4.1,*,+,0.5
, ,"Dawe, H.F. Ms.",GRN,914,1.8,*,, 
, ,"McBride, A.",BNP,704,1.4,*,, 
, ,"Bradbury, F.",Ind,172,0.3,*,, 
, , , ,-----,---,, , 
2005: Con,, , ,15'576,31,, , 
Twickenham [581],80'569,74.1,"Cable, V.*",LD,32'483,54.4,,+,2.7
, ,"Thomas, D.H. Ms.",Con,20'343,34.1,,+,1.7
, ,"Tomlinson, B.",Lab,4'583,7.7,,-,3.7
, ,"Gilbert, B.P.",UKIP,868,1.5,*,-,0
, ,"Roest, S.G.",GRN,674,1.1,*,-,1.7
, ,"Hurst, C.",BNP,654,1.1,*,, 
, ,"Cole, H.",CURE,76,0.1,*,, 
, ,"Armstrong, P.",MCP,40,0.1,*,, 
, , , ,-----,---,, , 
2005: LD,, , ,12'140,20.3,, , 
Tynemouth [582],75'680,69.6,"Campbell, A.*",Lab,23'860,45.3,,-,3
, ,"Morton, W. Ms.",Con,18'121,34.4,,-,2.2
, ,"Appleby, J.C.",LD,7'845,14.9,,-,0.2
, ,"Brooke, D. Ms.",BNP,1'404,2.7,*,, 
, ,"Payne, N.R. Ms.",UKIP,900,1.7,*,, 
, ,"Erskine, J.A. Ms.",GRN,538,1,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,5'739,10.9,, , 
Tyneside North [583],77'690,59.7,"Glindon, M.T. Ms.",Lab,23'505,50.7,,-,8.7
, ,"Ord, D.",LD,10'621,22.9,,+,0.9
, ,"Mohindra, G.",Con,8'514,18.3,,-,0.3
, ,"Burrows, J.",BNP,1'860,4,*,, 
, ,"Blake, C. Ms.",UKIP,1'306,2.8,*,, 
, ,"Batten, B.",NF,599,1.3,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,12'884,27.8,, , 
Tyrone West [584],61'148,61,"Doherty, P.*",SF,18'050,48.4,,+,9.5
, ,"Buchanan, T.E.",DUP,7'365,19.8,,+,2
, ,"Hussey, R.",UCUNF,5'281,14.2,, , 
, ,"Byrne, J.",SDLP,5'212,14,,+,4.9
, ,"Bower, M.J.",APNI,859,2.3,*,, 
, ,"McClean, C.M.",Ind,508,1.4,*,, 
, , , ,-----,---,, , 
2005: SF,, , ,10'685,28.7,, , 
Ulster Mid [585],64'594,63.2,"McGuinness, M.*",SF,21'239,52,,+,4.4
, ,"McCrea, I.",DUP,5'876,14.4,,-,9.1
, ,"Quinn, T.",SDLP,5'826,14.3,,-,3.2
, ,"Overend, S. Ms.",UCUNF,4'509,11,, , 
, ,"Millar, W.E.",TUV,2'995,7.3,, , 
, ,"Butler, I.",APNI,397,1,*,, 
, , , ,-----,---,, , 
2005: SF,, , ,15'363,37.6,, , 
Upper Bann [586],74'732,55.4,"Simpson, D.*",DUP,14'000,33.8,,-,3.7
, ,"Hamilton, H.",UCUNF,10'639,25.7,, , 
, ,"O'Dowd, J.F.",SF,10'237,24.7,,+,3.8
, ,"Kelly, D. Ms.",SDLP,5'276,12.7,,-,0.2
, ,"Heading, B.J.",APNI,1'231,3,*,, 
, , , ,-----,---,, , 
2005: DUP,, , ,3'361,8.1,, , 
Uxbridge and Ruislip South [587],71'160,63.3,"Randall, A.J.*",Con,21'758,48.3,,+,3.8
, ,"Garg, S.",Lab,10'542,23.4,,-,3
, ,"Cox, M.F.",LD,8'995,20,,-,2.7
, ,"Neal, D.S. Ms.",BNP,1'396,3.1,*,+,1.2
, ,"Wadsworth, G.M.",UKIP,1'234,2.7,*,+,1.1
, ,"Harling, M.R.F.",GRN,477,1.1,*,-,1.1
, ,"Cooper, R.",ED,403,0.9,*,, 
, ,"McAllister, F.",NF,271,0.6,*,, 
, , , ,-----,---,, , 
2005: Con,, , ,11'216,24.9,, , 
Vale of Clwyd [588],55'781,63.7,"Ruane, C.S.*",Lab,15'017,42.3,,-,3.6
, ,"Wright, M.G.",Con,12'508,35.2,,+,3.5
, ,"Penlington, P.A.",LD,4'472,12.6,,+,0.7
, ,"Wyn-Jones, C. Ms.",PC,2'068,5.8,,-,1.4
, ,"Si'Ree, I.J.",BNP,827,2.3,*,, 
, ,"Turner, T.P.",UKIP,515,1.4,*,+,0.3
, ,"Butler, M.J.",AGS,127,0.4,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,2'509,7.1,, , 
Vale of Glamorgan [589],70'211,69.3,"Cairns, A.H.",Con,20'341,41.8,,+,4.4
, ,"Davies, A.E. Ms.",Lab,16'034,32.9,,-,7.8
, ,"Parrott, E.S. Ms.",LD,7'403,15.2,,+,2
, ,"Johnson, I.J.",PC,2'667,5.5,,+,0.3
, ,"Mahoney, K.",UKIP,1'529,3.1,*,+,1.4
, ,"Thomas, R.H.",GRN,457,0.9,*,, 
, ,"Harrold, J.",Ch P,236,0.5,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,4'307,8.8,, , 
Vauxhall [590],74'811,57.7,"Hoey, C.L. Ms.*",Lab,21'498,49.8,,-,2
, ,"Pidgeon, C.V. Ms.",LD,10'847,25.1,,-,2.1
, ,"Chambers, G.E.",Con,9'301,21.5,,+,7
, ,"Healy, J.",GRN,708,1.6,*,-,2.8
, ,"Navarro, J.W.",ED,289,0.7,*,, 
, ,"Martin, L.J. Ms.",Ch P,200,0.5,*,, 
, ,"Lambert, D.P.",SOC,143,0.3,*,, 
, ,"Drinkall, J.B.",AWP,109,0.3,*,, 
, ,"Kapetanos, J.",APP,96,0.2,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,10'651,24.7,, , 
Wakefield [591],70'812,62.8,"Creagh, M.H. Ms.*",Lab,17'454,39.3,,-,4.8
, ,"Story, A.",Con,15'841,35.6,,+,9.1
, ,"Smith, D.S.",LD,7'256,16.3,,-,2.5
, ,"Senior, I.",BNP,2'581,5.8,,+,0.1
, ,"Hawkins, M. Ms.",GRN,873,2,*,+,0
, ,"Harrop, M.",Ind,439,1,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,1'613,3.6,, , 
Wallasey [592],65'915,63.2,"Eagle, A. Ms.*",Lab,21'578,51.8,,-,2.7
, ,"Fraser, L. Ms.",Con,13'071,31.4,,+,0.9
, ,"Pitt, S.",LD,5'693,13.7,,+,0.9
, ,"Snowden, D.M.",UKIP,1'205,2.9,*,+,0.6
, ,"Mwaba, E.",Ind,107,0.3,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,8'507,20.4,, , 
Walsall North [593],64'034,56.5,"Winnick, D.J.*",Lab,13'385,37,,-,11.2
, ,"Clack, H. Ms.",Con,12'395,34.3,,+,6.8
, ,"Fazal, N. Ms.",LD,4'754,13.1,,+,0.8
, ,"Woodhall, C.J.",BNP,2'930,8.1,,+,2.1
, ,"Hazell, E.A. Ms.",UKIP,1'737,4.8,*,+,1.1
, ,"Smith, P.E.",D Lab,842,2.3,*,, 
, ,"Shakir, B.",Ch P,144,0.4,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,990,2.7,, , 
Walsall South [594],64'387,63.5,"Vaz, V. Ms.",Lab,16'211,39.7,,-,9.5
, ,"Hunt, R.",Con,14'456,35.4,,+,6.9
, ,"Sinha, M.",LD,5'880,14.4,,+,4.6
, ,"Bennett, D.",UKIP,3'449,8.4,,+,3.6
, ,"Khan, G.",Ch P,482,1.2,*,, 
, ,"Mulia, M.M.",ND,404,1,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,1'755,4.3,, , 
Walthamstow [595],64'625,63.4,"Creasy, S. Ms.",Lab,21'252,51.8,,+,1.5
, ,"Ahmed, F.",LD,11'774,28.7,,+,1.6
, ,"Hemsted, A.",Con,5'734,14,,-,4.2
, ,"Chisholm-Benli, J. Ms.",UKIP,823,2,*,-,0.3
, ,"Perrett, D.P.",GRN,767,1.9,*,, 
, ,"Taaffe, N. Ms.",TUSC,279,0.7,*,, 
, ,"Mall, A.J.",Ch P,248,0.6,*,, 
, ,"Warburton, P.",Ind,117,0.3,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,9'478,23.1,, , 
Wansbeck [596],61'782,61.9,"Lavery, I.",Lab,17'548,45.8,,-,9.3
, ,"Reed, S.L.",LD,10'517,27.5,,+,1
, ,"Storey, C.",Con,6'714,17.5,,+,2.6
, ,"Finlay, S.",BNP,1'418,3.7,*,, 
, ,"Stokoe, L. Ms.",UKIP,974,2.5,*,, 
, ,"Best, N.",GRN,601,1.6,*,-,1.8
, ,"Reid, M.",Ind,359,0.9,*,, 
, ,"Flynn, M.",Ch P,142,0.4,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,7'031,18.4,, , 
Wantage [597],80'456,70,"Vaizey, E.*",Con,29'284,52,,+,8.9
, ,"Armitage, A.E.",LD,15'737,27.9,,+,0.3
, ,"Mitchell, S.P.",Lab,7'855,13.9,,-,10
, ,"Jones, J.A.C. Ms.",UKIP,2'421,4.3,*,+,2.8
, ,"Twine, A.",GRN,1'044,1.9,*,-,0.7
, , , ,-----,---,, , 
2005: Con,, , ,13'547,24,, , 
Warley [598],62'751,61,"Spellar, J.F.*",Lab,20'240,52.9,,-,2
, ,"Parmar, J.S.",Con,9'484,24.8,,+,1.9
, ,"Keating, E.",LD,5'929,15.5,,+,2.3
, ,"Harvey, N.",UKIP,2'617,6.8,,+,4.7
, , , ,-----,---,, , 
2005: Lab,, , ,10'756,28.1,, , 
Warrington North [599],70'473,62.7,"Jones, H.M. Ms.*",Lab,20'135,45.5,,-,7.3
, ,"Campbell, P.T.",Con,13'364,30.2,,+,5.9
, ,"Eccles, D.",LD,9'196,20.8,,+,2.1
, ,"Scott, A.",Ind,1'516,3.4,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,6'771,15.3,, , 
