UK General Election Results 2001,,,,,,,,,,
Constituency,MP,Candidate,Party,Votes,%,Electorate,Majority,Turnout,Status,Declaration
,,Isabel Owen,Labour,6647,11.92%,,,,,
,,Alan Langmaid,United Kingdom Independence,1281,2.30%,,,,,
,,Matthew Burgess,Green,1030,1.85%,,,,,
,,Jennifer Roach,Liberal,594,1.06%,,,,,
,,,,,,,,,,
Tonbridge and Malling,,John Stanley,Conservative,20956,49.38%,65939,8250,64.36%,Conservative Hold,08/06/01 02:06
,,Victoria Hayman,Labour,12706,29.94%,,,,,
,,Merilyn Canet,Liberal Democrat,7605,17.92%,,,,,
,,Lynn Croucher,United Kingdom Independence,1169,2.75%,,,,,
,,,,,,,,,,
Tooting,,Tom Cox,Labour,20332,54.09%,68447,10400,54.92%,Labour Hold,08/06/01 00:48
,,Alexander Nicoll,Conservative,9932,26.42%,,,,,
,,Simon James,Liberal Democrat,5583,14.85%,,,,,
,,Matthew Ledbury,Green,1744,4.64%,,,,,
,,,,,,,,,,
Torbay,,Adrian Sanders,Liberal Democrat,24015,50.48%,72409,6708,65.69%,Liberal Democrat Hold,08/06/01 00:23
,,Christian Sweeting,Conservative,17307,36.38%,,,,,
,,John McKay,Labour,4484,9.43%,,,,,
,,Graham H Booth,United Kingdom Independence,1512,3.18%,,,,,
,,Pam Neale,Independent,251,0.53%,,,,,
,,,,,,,,,,
Torfaen,,Paul Murphy,Labour,21883,62.09%,61110,16280,57.67%,Labour Hold,08/06/01 02:14
,,Jason Evans,Conservative,5603,15.90%,,,,,
,,Alan Masters,Liberal Democrat,3936,11.17%,,,,,
,,Stephen Smith,Plaid Cymru,2720,7.72%,,,,,
,,Brenda Vipass,United Kingdom Independence,657,1.86%,,,,,
,,Steve Bell,Socialist Alliance,443,1.26%,,,,,
,,,,,,,,,,
Totnes,,Anthony Steen,Conservative,21914,44.50%,72548,3597,67.88%,Conservative Hold,08/06/01 03:17
,,Rachel Oliver,Liberal Democrat,18317,37.19%,,,,,
,,Thomas Wildy,Labour,6005,12.19%,,,,,
,,Craig Mackinlay,United Kingdom Independence,3010,6.11%,,,,,
,,,,,,,,,,
Tottenham,,David Lammy,Labour,21317,67.46%,65567,16916,48.20%,Labour Hold,08/06/01 02:14
,,Uma Fernandes,Conservative,4401,13.93%,,,,,
,,Meher Khan,Liberal Democrat,3008,9.52%,,,,,
,,Peter Budge,Green,1443,4.57%,,,,,
,,Weyman Bennett,Socialist Alliance,1162,3.68%,,,,,
,,Unver Shefki,Reform 2000,270,0.85%,,,,,
,,,,,,,,,,
Truro and St. Austell,,Matthew Taylor,Liberal Democrat,24296,48.31%,79219,8065,63.49%,Liberal Democrat Hold,08/06/01 11:14
,,Tim Bonner,Conservative,16231,32.27%,,,,,
,,David Phillips,Labour,6889,13.70%,,,,,
,,James Wonnacott,United Kingdom Independence,1664,3.31%,,,,,
,,Conan Jenkin,Mebyon Kernow,1137,2.26%,,,,,
,,John Lee,Independent,78,0.16%,,,,,
,,,,,,,,,,
Tunbridge Wells,,Archie Norman,Conservative,19643,48.86%,64534,9730,62.29%,Conservative Hold,08/06/01 03:07
,,Keith Brown,Liberal Democrat,9913,24.66%,,,,,
,,Ian Carvell,Labour,9332,23.21%,,,,,
,,Victor Webb,United Kingdom Independence,1313,3.27%,,,,,
,,,,,,,,,,
"Tweeddale Ettrick and Lauderdale",,Michael Moore,Liberal Democrat,14035,42.25%,51966,5157,63.92%,Liberal Democrat Hold,08/06/01 03:27
,,Keith Geddes,Labour,8878,26.73%,,,,,
,,Andrew Brocklehurst,Conservative,5118,15.41%,,,,,
,,Richard Thomson,Scottish National,4108,12.37%,,,,,
,,Norman Lockhart,Scottish Socialist,695,2.09%,,,,,
,,John Hein,Liberal,383,1.15%,,,,,
,,,,,,,,,,
Twickenham,,Vincent Cable,Liberal Democrat,24344,48.75%,74135,7655,67.36%,Liberal Democrat Hold,08/06/01 03:01
,,Nick Longworth,Conservative,16689,33.42%,,,,,
,,Dean Rogers,Labour,6903,13.82%,,,,,
,,Judy Maciejowska,Green,1423,2.85%,,,,,
,,Ray Hollebone,United Kingdom Independence,579,1.16%,,,,,
,,,,,,,,,,
Tyne Bridge,,David G Clelland,Labour,18345,70.47%,58900,14889,44.20%,Labour Hold,08/06/01 00:00
,,James Cook,Conservative,3456,13.28%,,,,,
,,Jonathan Wallace,Liberal Democrat,3213,12.34%,,,,,
,,James Fitzpatrick,Socialist Labour,533,2.05%,,,,,
,,Samuel Robson,Socialist Alliance,485,1.86%,,,,,
,,,,,,,,,,
Tynemouth,,Alan Campbell,Labour,23364,53.22%,65184,8678,67.35%,Labour Hold,08/06/01 02:05
,,Karl Poulsen,Conservative,14686,33.45%,,,,,
,,Penny Reid,Liberal Democrat,5108,11.63%,,,,,
,,Michael Rollings,United Kingdom Independence,745,1.70%,,,,,
,,,,,,,,,,
Tyneside North,,Stephen Byers,Labour,26127,69.54%,64914,20668,57.88%,Labour Hold,08/06/01 01:48
,,Mark Ruffell,Conservative,5459,14.53%,,,,,
,,Simon Reed,Liberal Democrat,4649,12.37%,,,,,
,,Alan Taylor,United Kingdom Independence,770,2.05%,,,,,
,,Pete Burnett,Socialist Alliance,324,0.86%,,,,,
,,Ken Capstick,Socialist Labour,240,0.64%,,,,,
,,,,,,,,,,
Tyrone West,,Pat Doherty,Sinn Féin,19814,40.83%,60739,5040,79.90%,Sinn Féin Gain,08/06/01 19:00
,,William Thompson,Ulster Unionist,14774,30.44%,,,,,
,,Brid Rodgers,Social Democratic and Labour,13942,28.73%,,,,,
,,,,,,,,,,
Ulster Mid,,Martin McGuinness,Sinn Féin,25502,51.07%,61390,9953,81.34%,Sinn Féin Hold,08/06/01 18:14
,,Ian McCrea,Democratic Unionist,15549,31.14%,,,,,
,,Eilis Haughey,Social Democratic and Labour,8376,16.77%,,,,,
,,Francie Donnelly,Workers',509,1.02%,,,,,
,,,,,,,,,,
Upminster,,Angela Watkinson,Conservative,15410,45.52%,56829,1241,59.57%,Conservative Gain,08/06/01 02:48
,,Keith Darvill,Labour,14169,41.86%,,,,,
,,Peter Truesdale,Liberal Democrat,3183,9.40%,,,,,
,,Terry Murray,United Kingdom Independence,1089,3.22%,,,,,
,,,,,,,,,,
Upper Bann,,David Trimble,Ulster Unionist,17095,33.50%,72574,2058,70.32%,Ulster Unionist Hold,08/06/01 21:30
,,David Simpson,Democratic Unionist,15037,29.46%,,,,,
,,Dara O'Hagan,Sinn Féin,10770,21.10%,,,,,
,,Dolores Kelly,Social Democratic and Labour,7607,14.91%,,,,,
,,Tom French,Workers',527,1.03%,,,,,
,,,,,,,,,,
Uxbridge,,John Randall,Conservative,15751,47.13%,58066,2098,57.55%,Conservative Hold,08/06/01 01:55
,,David Salisbury-Jones,Labour,13653,40.86%,,,,,
,,Catherine Royce,Liberal Democrat,3426,10.25%,,,,,
,,Paul Cannons,United Kingdom Independence,588,1.76%,,,,,
,,,,,,,,,,
Vale of Clwyd,,Chris Ruane,Labour,16179,50.02%,51247,5761,63.12%,Labour Hold,08/06/01 00:40
,,Brendan Murphy,Conservative,10418,32.21%,,,,,
,,Graham Rees,Liberal Democrat,3058,9.45%,,,,,
,,John Penri Williams,Plaid Cymru,2300,7.11%,,,,,
,,William Campbell,United Kingdom Independence,391,1.21%,,,,,
,,,,,,,,,,
Vale of Glamorgan,,John Smith,Labour,20524,45.42%,67071,4700,67.37%,Labour Hold,08/06/01 02:13
,,Susan Inkin,Conservative,15824,35.02%,,,,,
,,Dewi Smith,Liberal Democrat,5521,12.22%,,,,,
,,Chris Franks,Plaid Cymru,2867,6.35%,,,,,
,,Niall Warry,United Kingdom Independence,448,0.99%,,,,,
,,,,,,,,,,
Vale of York,,Anne McIntosh,Conservative,25033,51.63%,73335,12517,66.12%,Conservative Hold,08/06/01 04:17
,,Christopher Jukes,Labour,12516,25.81%,,,,,
,,Greg Stone,Liberal Democrat,9799,20.21%,,,,,
,,Peter Thornber,United Kingdom Independence,1142,2.36%,,,,,
,,,,,,,,,,
Vauxhall,,Kate Hoey,Labour,19738,59.11%,74474,13018,44.84%,Labour Hold,08/06/01 02:15
,,Anthony Bottrall,Liberal Democrat,6720,20.12%,,,,,
,,Gareth Compton,Conservative,4489,13.44%,,,,,
,,Shane Collins,Green,1485,4.45%,,,,,
,,Theresa Bennett,Socialist Alliance,853,2.55%,,,,,
,,Martin Boyd,Independent,107,0.32%,,,,,
,,,,,,,,,,
Wakefield,,David Hinchliffe,Labour,20592,49.92%,75750,7954,54.46%,Labour Hold,08/06/01 02:19
,,Thelma Karran,Conservative,12638,30.63%,,,,,
,,Douglas Dale,Liberal Democrat,5097,12.36%,,,,,
,,Sarah Greenwood,Green,1075,2.61%,,,,,
,,Janice Cannon,United Kingdom Independence,677,1.64%,,,,,
,,Abdul Aziz,Socialist Labour,634,1.54%,,,,,
,,Mick Griffiths,Socialist Alliance,541,1.31%,,,,,
,,,,,,,,,,
Wallasey,,Angela Eagle,Labour,22718,60.83%,64889,12276,57.55%,Labour Hold,08/06/01 01:14
,,Lesley Rennie,Conservative,10442,27.96%,,,,,
,,Peter Reisdorf,Liberal Democrat,4186,11.21%,,,,,
,,,,,,,,,,
Walsall North,,David Winnick,Labour,18779,58.12%,66020,9391,48.94%,Labour Hold,08/06/01 01:49
,,Melvin Pitt,Conservative,9388,29.05%,,,,,
,,Michael Heap,Liberal Democrat,2923,9.05%,,,,,
,,Jenny Mayo,United Kingdom Independence,812,2.51%,,,,,
,,Dave Church,Socialist Alliance,410,1.27%,,,,,
,,,,,,,,,,
Walsall South,,Bruce George,Labour,20574,58.95%,62657,9931,55.70%,Labour Hold,08/06/01 01:54
,,Michael Bird,Conservative,10643,30.50%,,,,,
,,Bill Tomlinson,Liberal Democrat,2365,6.78%,,,,,
,,Derek Bennett,United Kingdom Independence,974,2.79%,,,,,
,,Peter Smith,Socialist Alliance,343,0.98%,,,,,
,,,,,,,,,,
Walthamstow,,Neil Gerrard,Labour,21402,62.16%,64403,15181,53.46%,Labour Hold,08/06/01 01:31
,,Nick Boy Smith,Conservative,6221,18.07%,,,,,
,,Peter Dunphy,Liberal Democrat,5024,14.59%,,,,,
,,Simon Donovan,Socialist Alternative,806,2.34%,,,,,
,,William Phillips,British National,389,1.13%,,,,,
,,Gerda Mayer,United Kingdom Independence,298,0.87%,,,,,
,,Barbara Duffy,ProLife Alliance,289,0.84%,,,,,
,,,,,,,,,,
Wansbeck,,Denis Murphy,Labour,21617,57.77%,62989,13101,59.41%,Labour Hold,08/06/01 02:51
,,Alan Thompson,Liberal Democrat,8516,22.76%,,,,,
,,Rachael Lake,Conservative,4774,12.76%,,,,,
,,Michael Kirkup,Independent,1076,2.88%,,,,,
,,Nic F Best,Green,954,2.55%,,,,,
,,Gavin Attwell,United Kingdom Independence,482,1.29%,,,,,
,,,,,,,,,,
Wansdyke,,Dan Norris,Labour,22706,46.29%,70728,5113,69.35%,Labour Hold,08/06/01 02:40
,,Chris Watt,Conservative,17593,35.87%,,,,,
,,Gail Coleshill,Liberal Democrat,7135,14.55%,,,,,
,,Francis Hayden,Green,958,1.95%,,,,,
,,Peter Sandell,United Kingdom Independence,655,1.34%,,,,,
,,,,,,,,,,
Wantage,,Robert Jackson,Conservative,19475,39.64%,76129,5600,64.53%,Conservative Hold,08/06/01 04:28
,,Stephen Beer,Labour,13875,28.24%,,,,,
,,Neil Fawcett,Liberal Democrat,13776,28.04%,,,,,
,,David Brooks-Saxl,Green,1062,2.16%,,,,,
,,Nikolai Tolstoy,United Kingdom Independence,941,1.92%,,,,,
,,,,,,,,,,
Warley,,John Spellar,Labour,19007,60.50%,58071,11850,54.10%,Labour Hold,08/06/01 00:22
,,Mark Pritchard,Conservative,7157,22.78%,,,,,
,,Ron Cockings,Liberal Democrat,3315,10.55%,,,,,
,,Harbhajan Dardi,Socialist Labour,1936,6.16%,,,,,
,,,,,,,,,,
Warrington North,,Helen Jones,Labour,24026,61.75%,72445,15156,53.71%,Labour Hold,08/06/01 01:56
,,James Usher,Conservative,8870,22.80%,,,,,
,,Roy Smith,Liberal Democrat,5232,13.45%,,,,,
,,Jack Kirkham,United Kingdom Independence,782,2.01%,,,,,
,,,,,,,,,,
Warrington South,,Helen Southworth,Labour,22409,49.26%,74283,7387,61.23%,Labour Hold,08/06/01 02:21
,,Caroline Mosley,Conservative,15022,33.02%,,,,,
,,Roger Barlow,Liberal Democrat,7419,16.31%,,,,,
,,Joan Kelley,United Kingdom Independence,637,1.40%,,,,,
,,,,,,,,,,
Warwick and Leamington,,James Plaskitt,Labour,26108,48.76%,81405,5953,65.77%,Labour Hold,08/06/01 03:45
,,David Campbell-Bannerman,Conservative,20155,37.65%,,,,,
,,Linda Forbes,Liberal Democrat,5964,11.14%,,,,,
,,Clare Kime,Socialist Alliance,664,1.24%,,,,,
,,Greville Warwick,United Kingdom Independence,648,1.21%,,,,,
,,,,,,,,,,
Warwickshire North,,Mike O'Brien,Labour,24023,54.09%,73828,9639,60.15%,Labour Hold,08/06/01 02:32
,,Geoff Parsons,Conservative,14384,32.39%,,,,,
,,William Powell,Liberal Democrat,5052,11.38%,,,,,
,,John Flynn,United Kingdom Independence,950,2.14%,,,,,
,,,,,,,,,,
Watford,,Claire Ward,Labour,20992,45.27%,75724,5555,61.24%,Labour Hold,08/06/01 03:28
,,Michael McManus,Conservative,15437,33.29%,,,,,
,,Duncan Hames,Liberal Democrat,8088,17.44%,,,,,
,,Denise Kingsley,Green,900,1.94%,,,,,
,,Edmund Stewart-Mole,United Kingdom Independence,535,1.15%,,,,,
,,Jon Berry,Socialist Alliance,420,0.91%,,,,,
,,,,,,,,,,
Waveney,,Bob Blizzard,Labour,23914,50.70%,76585,8553,61.59%,Labour Hold,08/06/01 02:57
,,Lee Scott,Conservative,15361,32.57%,,,,,
,,David Young,Liberal Democrat,5370,11.39%,,,,,
,,Brian Aylett,United Kingdom Independence,1097,2.33%,,,,,
,,Graham Elliot,Green,983,2.08%,,,,,
,,Rupert Mallin,Socialist Alliance,442,0.94%,,,,,
,,,,,,,,,,
Wavertree,,Jane Kennedy,Labour,20155,62.71%,72555,12319,44.29%,Labour Hold,08/06/01 01:15
,,Christopher Newby,Liberal Democrat,7836,24.38%,,,,,
,,Geoffrey Allen,Conservative,3091,9.62%,,,,,
,,Michael Lane,Socialist Labour,359,1.12%,,,,,
,,Mark O'Brien,Socialist Alliance,349,1.09%,,,,,
,,Neil Miney,United Kingdom Independence,348,1.08%,,,,,
,,,,,,,,,,
Wealden,,Charles Hendry,Conservative,26279,49.81%,83066,13772,63.51%,Conservative Hold,08/06/01 06:39
,,Steve Murphy,Liberal Democrat,12507,23.71%,,,,,
,,Kathy Fordham,Labour,10705,20.29%,,,,,
,,Keith Riddle,United Kingdom Independence,1539,2.92%,,,,,
,,Julian Salmon,Green,1273,2.41%,,,,,
,,Cyril Thornton,Pensioner Coalition,453,0.86%,,,,,
,,,,,,,,,,
Weaver Vale,,Mike Hall,Labour,20611,52.48%,68236,9637,57.55%,Labour Hold,08/06/01 03:54
,,Carl Cross,Conservative,10974,27.94%,,,,,
,,Nigel Griffiths,Liberal Democrat,5643,14.37%,,,,,
,,Michael Cooksley,Independent,1484,3.78%,,,,,
,,Jim Bradshaw,United Kingdom Independence,559,1.42%,,,,,
,,,,,,,,,,
Wellingborough,,Paul Stinchcombe,Labour,23867,46.79%,77389,2355,65.91%,Labour Hold,08/06/01 02:58
,,Peter Bone,Conservative,21512,42.18%,,,,,
,,Peter Gaskell,Liberal Democrat,4763,9.34%,,,,,
,,Anthony Ellwood,United Kingdom Independence,864,1.69%,,,,,
,,,,,,,,,,
Wells,,David Heathcoat-Amory,Conservative,22462,43.77%,74189,2796,69.17%,Conservative Hold,08/06/01 02:54
,,Graham Oakes,Liberal Democrat,19666,38.32%,,,,,
,,Andy Merryfield,Labour,7915,15.42%,,,,,
,,Steve Reed,United Kingdom Independence,1104,2.15%,,,,,
,,Colin R Bex,Wessex Regionalists,167,0.33%,,,,,
,,,,,,,,,,
Welwyn Hatfield,,Miss Melanie Johnson,Labour,18484,43.17%,67004,1196,63.91%,Labour Hold,08/06/01 02:29
,,Grant Shapps,Conservative,17288,40.37%,,,,,
,,Daniel Cooke,Liberal Democrat,6021,14.06%,,,,,
,,Malcolm Biggs,United Kingdom Independence,798,1.86%,,,,,
,,Fiona Pinto,ProLife Alliance,230,0.54%,,,,,
,,,,,,,,,,
Wentworth,,John Healey,Labour,22798,67.49%,64033,16449,52.75%,Labour Hold,08/06/01 00:44
,,Mike Roberts,Conservative,6349,18.80%,,,,,
,,David Wildgoose,Liberal Democrat,3652,10.81%,,,,,
,,John Wilkinson,United Kingdom Independence,979,2.90%,,,,,
,,,,,,,,,,
West Bromwich East,,Tom Watson,Labour,18250,55.87%,61198,9763,53.37%,Labour Hold,08/06/01 00:38
,,David MacFarlane,Conservative,8487,25.98%,,,,,
,,Ian Garrett,Liberal Democrat,4507,13.80%,,,,,
,,Steven Grey,United Kingdom Independence,835,2.56%,,,,,
,,Sheera Johal,Socialist Labour,585,1.79%,,,,,
,,,,,,,,,,
West Bromwich West,,Adrian Bailey,Labour/Co-operative,19352,60.78%,66777,11355,47.68%,Labour/Co-operative Gain,08/06/01 00:40
,,Karen Bissell,Conservative,7997,25.12%,,,,,
,,Sadie Smith,Liberal Democrat,2168,6.81%,,,,,
,,John Salvage,British National,1428,4.48%,,,,,
,,Kevin Walker,United Kingdom Independence,499,1.57%,,,,,
,,Baghwant Singh,Socialist Labour,396,1.24%,,,,,
,,,,,,,,,,
West Ham,,Anthony Banks,Labour,20449,69.86%,59828,15645,48.93%,Labour Hold,08/06/01 01:51
,,Syed Kamall,Conservative,4804,16.41%,,,,,
,,Paul Fox,Liberal Democrat,2166,7.40%,,,,,
,,Jackie Chandle Oatts,Green,1197,4.09%,,,,,
,,Gerard Batten,United Kingdom Independence,657,2.24%,,,,,
,,,,,,,,,,
Westbury,,Andrew Murrison,Conservative,21299,42.07%,75911,5294,66.69%,Conservative Hold,08/06/01 03:40
,,David Vigar,Liberal Democrat,16005,31.61%,,,,,
,,Sarah Cardy,Labour,10847,21.42%,,,,,
,,Charles Booth-Jones,United Kingdom Independence,1261,2.49%,,,,,
,,Bob Gledhill,Green,1216,2.40%,,,,,
,,,,,,,,,,
Western Isles,,Calum MacDonald,Labour,5924,45.02%,21807,1074,60.34%,Labour Hold,08/06/01 00:57
,,Alasdair Nicholson,Scottish National,4850,36.86%,,,,,
,,Douglas Taylor,Conservative,1250,9.50%,,,,,
,,John Horne,Liberal Democrat,849,6.45%,,,,,
,,Joanne Telfer,Scottish Socialist,286,2.17%,,,,,
,,,,,,,,,,
Westmorland and Lonsdale,,Tim Collins,Conservative,22486,46.94%,70637,3147,67.82%,Conservative Hold,08/06/01 03:12
,,Tim Farron,Liberal Democrat,19339,40.37%,,,,,
,,John Bateson,Labour,5234,10.93%,,,,,
,,Robert Gibson,United Kingdom Independence,552,1.15%,,,,,
,,Tim Bell,Independent,292,0.61%,,,,,
,,,,,,,,,,
Weston-super-Mare,,Brian J Cotter,Liberal Democrat,18424,39.47%,74343,338,62.79%,Liberal Democrat Hold,08/06/01 04:14
,,John Penrose,Conservative,18086,38.74%,,,,,
,,Derek Kraft,Labour,9235,19.78%,,,,,
,,Bill Lukins,United Kingdom Independence,650,1.39%,,,,,
,,John Peverelle,Independent,206,0.44%,,,,,
,,Richard Sibley,Independent,79,0.17%,,,,,
,,,,,,,,,,
Wigan,,Neil Turner,Labour,20739,61.74%,64040,13743,52.45%,Labour Hold,08/06/01 00:39
,,Mark Page,Conservative,6996,20.83%,,,,,
,,Trevor Beswick,Liberal Democrat,4970,14.80%,,,,,
,,Dave Lowe,Socialist Alliance,886,2.64%,,,,,
,,,,,,,,,,
Wiltshire North,,James Gray,Conservative,24090,45.50%,79524,3878,66.58%,Conservative Hold,08/06/01 03:28
,,Hugh Pym,Liberal Democrat,20212,38.17%,,,,,
,,Jo Garton,Labour,7556,14.27%,,,,,
,,Neil Dowdney,United Kingdom Independence,1090,2.06%,,,,,
,,,,,,,,,,
Wimbledon,,Roger Casale,Labour,18806,45.75%,63930,3744,64.30%,Labour Hold,08/06/01 01:50
,,Stephen Hammond,Conservative,15062,36.64%,,,,,
,,Martin Pierce,Liberal Democrat,5341,12.99%,,,,,
,,Rajeev Thacker,Green,1007,2.45%,,,,,
,,Roger Glencross,Christian Peoples' Alliance,479,1.17%,,,,,
,,Mariana Bell,United Kingdom Independence,414,1.01%,,,,,
,,,,,,,,,,
Winchester,,Mark Oaten,Liberal Democrat,32282,54.57%,81852,9634,72.27%,Liberal Democrat Hold,08/06/01 05:07
,,Andrew Hayes,Conservative,22648,38.28%,,,,,
,,Stephen Wyeth,Labour,3498,5.91%,,,,,
,,Joan Martin,United Kingdom Independence,664,1.12%,,,,,
,,Henrietta Rouse,Wessex Regionalists,66,0.11%,,,,,
,,,,,,,,,,
Windsor,,Michael Trend,Conservative,19900,47.26%,69136,8889,60.91%,Conservative Hold,08/06/01 02:22
,,Nick Pinfield,Liberal Democrat,11011,26.15%,,,,,
,,Mark Muller,Labour,10137,24.07%,,,,,
,,John Fagan,United Kingdom Independence,1062,2.52%,,,,,
,,,,,,,,,,
Wirral South,,Ben Chapman,Labour,18890,47.44%,60653,5049,65.65%,Labour Hold,08/06/01 00:57
,,Anthony Millard,Conservative,13841,34.76%,,,,,
,,Phillip Gilchrist,Liberal Democrat,7087,17.80%,,,,,
,,,,,,,,,,
Wirral West,,Stephen Hesford,Labour,19105,47.20%,62294,4035,64.97%,Labour Hold,08/06/01 01:44
,,Chris Lynch,Conservative,15070,37.23%,,,,,
,,Simon Holbrook,Liberal Democrat,6300,15.57%,,,,,
,,,,,,,,,,
Witney,,David Cameron,Conservative,22153,45.02%,74624,7973,65.93%,Conservative Hold,08/06/01 03:38
,,Michael Bartlet,Labour,14180,28.82%,,,,,
,,Gareth Epps,Liberal Democrat,10000,20.32%,,,,,
,,Mark Stevenson,Green,1100,2.24%,,,,,
,,Barry Beadle,Independent,1003,2.04%,,,,,
,,Kenneth Dukes,United Kingdom Independence,767,1.56%,,,,,
,,,,,,,,,,
Woking,,Humfrey Malins,Conservative,19747,46.02%,71163,6759,60.30%,Conservative Hold,08/06/01 03:21
,,Alan Hilliar,Liberal Democrat,12988,30.27%,,,,,
,,Sabir Hussain,Labour,8714,20.31%,,,,,
,,Michael Harvey,United Kingdom Independence,1461,3.40%,,,,,
,,,,,,,,,,
Wokingham,,John Redwood,Conservative,20216,46.10%,68430,5994,64.08%,Conservative Hold,08/06/01 02:38
,,Royce Longton,Liberal Democrat,14222,32.43%,,,,,
,,Matthew Syed,Labour,7633,17.41%,,,,,
,,Franklin Carstairs,United Kingdom Independence,897,2.05%,,,,,
,,Peter 'Top Cat' Owen,Monster Raving Loony,880,2.01%,,,,,
,,,,,,,,,,
Wolverhampton North East,,Ken Purchase,Labour/Co-operative,18984,60.28%,60486,9965,52.07%,Labour/Co-operative Hold,08/06/01 00:59
,,Maria Miller,Conservative,9019,28.64%,,,,,
,,Steven Bourne,Liberal Democrat,2494,7.92%,,,,,
,,Thomas McCartney,United Kingdom Independence,997,3.17%,,,,,
,,,,,,,,,,
Wolverhampton South East,,Dennis Turner,Labour/Co-operative,18409,67.44%,53931,12464,50.61%,Labour/Co-operative Hold,08/06/01 00:43
,,Adrian Pepper,Conservative,5945,21.78%,,,,,
,,Peter Wild,Liberal Democrat,2389,8.75%,,,,,
,,James Barry,National Front,554,2.03%,,,,,
,,,,,,,,,,
Wolverhampton South West,,Robert Marris,Labour,19735,48.26%,67171,3487,60.88%,Labour Hold,08/06/01 01:49
,,David Chambers,Conservative,16248,39.73%,,,,,
,,Mike Dixon,Liberal Democrat,3425,8.37%,,,,,
,,Wendy Walker,Green,805,1.97%,,,,,
,,Doug Hope,United Kingdom Independence,684,1.67%,,,,,
,,,,,,,,,,
Woodspring,,Liam Fox,Conservative,21297,43.68%,71023,8798,68.65%,Conservative Hold,08/06/01 03:04
,,Chanel Stevens,Labour,12499,25.63%,,,,,
,,Colin Eldridge,Liberal Democrat,11816,24.23%,,,,,
,,David Shopland,Independent,1412,2.90%,,,,,
,,Richard Lawson,Green,1282,2.63%,,,,,
,,Fraser Crean,United Kingdom Independence,452,0.93%,,,,,
,,,,,,,,,,
Worcester,,Michael Foster,Labour,21478,48.58%,71255,5766,62.04%,Labour Hold,08/06/01 03:17
,,Richard Adams,Conservative,15712,35.54%,,,,,
,,Paul Chandler,Liberal Democrat,5578,12.62%,,,,,
,,Richard Chamings,United Kingdom Independence,1442,3.26%,,,,,
,,,,,,,,,,
Worcestershire Mid,,Peter Luff,Conservative,22937,51.09%,71985,10627,62.37%,Conservative Hold,08/06/01 02:34
,,David Bannister,Labour,12310,27.42%,,,,,
,,Robert Woodthorpe-Browne,Liberal Democrat,8420,18.75%,,,,,
,,Tony Eaves,United Kingdom Independence,1230,2.74%,,,,,
,,,,,,,,,,
Worcestershire West,,Michael Spicer,Conservative,20597,45.97%,66769,5374,67.11%,Conservative Hold,08/06/01 04:16
,,Mike Hadley,Liberal Democrat,15223,33.97%,,,,,
,,Waquar Azmi,Labour,6275,14.00%,,,,,
,,Ian Morris,United Kingdom Independence,1574,3.51%,,,,,
,,Malcolm Victory,Green,1138,2.54%,,,,,
,,,,,,,,,,
Workington,,Tony Cunningham,Labour,23209,55.49%,65965,10850,63.40%,Labour Hold,08/06/01 03:19
,,Tim Stoddart,Conservative,12359,29.55%,,,,,
,,Ian Francis,Liberal Democrat,5214,12.47%,,,,,
,,John Peacock,Legalise Cannabis Alliance,1040,2.49%,,,,,
,,,,,,,,,,
Worsley,,Terry Lewis,Labour,20193,57.10%,69300,11787,51.03%,Labour Hold,08/06/01 01:00
,,Tobias Ellwood,Conservative,8406,23.77%,,,,,
,,Robert Bleakley,Liberal Democrat,6188,17.50%,,,,,
,,Dorothy Entwistle,Socialist Labour,576,1.63%,,,,,
,,,,,,,,,,
Worthing East and Shoreham,,Tim Loughton,Conservative,18608,43.21%,71890,6139,59.91%,Conservative Hold,08/06/01 04:07
,,Daniel Yates,Labour,12469,28.95%,,,,,
,,Paul Elgood,Liberal Democrat,9876,22.93%,,,,,
,,Jim McCulloch,United Kingdom Independence,1195,2.77%,,,,,
,,Christopher Baldwin,Legalise Cannabis Alliance,920,2.14%,,,,,
,,,,,,,,,,
Worthing West,,Peter Bottomley,Conservative,20508,47.46%,72419,9037,59.67%,Conservative Hold,08/06/01 03:36
,,James Walsh,Liberal Democrat,11471,26.55%,,,,,
,,Alan Butcher,Labour,9270,21.45%,,,,,
,,Tim Cross,United Kingdom Independence,1960,4.54%,,,,,
,,,,,,,,,,
Wrexham,,Ian Lucas,Labour,15934,53.03%,50465,9188,59.54%,Labour Hold,08/06/01 00:12
,,Felicity Elphick,Conservative,6746,22.45%,,,,,
,,Ron Davies,Liberal Democrat,5153,17.15%,,,,,
,,Malcolm Evans,Plaid Cymru,1783,5.93%,,,,,
,,Jane Brookes,United Kingdom Independence,432,1.44%,,,,,
,,,,,,,,,,
Wycombe,,Paul Goodman,Conservative,19064,42.39%,74647,3168,60.25%,Conservative Hold,08/06/01 03:18
,,Chauhdry Shafique,Labour,15896,35.34%,,,,,
,,Dee Tomlin,Liberal Democrat,7658,17.03%,,,,,
,,Christopher Cooke,United Kingdom Independence,1059,2.35%,,,,,
,,John Laker,Green,1057,2.35%,,,,,
,,David Fitton,Independent,240,0.53%,,,,,
,,,,,,,,,,
Wyre Forest,,Richard Taylor,Kidderminster Hospital and Health Concern,28487,58.06%,72152,17630,68.00%,Kidderminster Hospital and Health Concern Gain,08/06/01 02:27
